"0","1","2","3","4","5","6","7","8","9","10"
"datetime:date","datetime:time","Place","temperature","tempinf","sky","windspeed","windspeedinmph","winddir","visibility","visibilityinmi"
"24-May-05","NULL","""Santa Barbara California""","63 F","63.0","Overcast","5 mph","5.0","SW","4.0 miles","4.0"
"31-May-05","7:01 PM","""Amateur Radio Station - AG2S Hillsborough New Jersey""","74.8 F","74.8","Clear","2.7 mph","2.7","SE","NULL","NULL"
"31-May-05","6:30 PM EDT","""Crystal Shores Cedar Point North Carolina""","72.1 F","72.1","Mostly Cloudy","3 mph","3.0","ESE","NULL","NULL"
"31-May-05","NULL","""Santa Barbara California""","68 F","68.0","Clear","9 mph","9.0","West","10.0 miles","10.0"
"31-May-05","NULL","""Santa Monica California""","66 F","66.0","Clear","14 mph","14.0","WSW","9.0 miles","9.0"
"1-Jun-05","6:51 PM EDT","""Central Park New York""","70 F","70.0","Clear","8 mph","8.0","ESE","10.0 miles","10.0"
"1-Jun-05","NULL","""Santa Barbara California""","64 F","64.0","Overcast","5 mph","5.0","Variable","7.0 miles","7.0"
"2-Jun-05","NULL","""Central Park New York""","66 F","66.0","Clear","4 mph","4.0","Variable","10.0 miles","10.0"
"2-Jun-05","NULL","""Bklyn New York""","61.7 F","61.7","Clear","1 mph","1.0","Variable","NULL","NULL"
"3-Jun-05","NULL","""Amateur Radio Station - AG2S Hillsborough New Jersey""","71.1 F","71.1","Clear","4 mph","4.0","ESE","NULL","NULL"
"3-Jun-05","NULL","""Orlando Florida""","79 F","79.0","Light Rain","5 mph","5.0","SSE","10.0 miles","10.0"
