"0","1","2","3","4","5","6","7","8","9","10"
"datetime:time","Place","temperature","tempinf","sky","windspeed","windspeedinmph","winddir","visibility","visibilityinmi","Zip"
"NULL","Los Angeles Downtown/Usc","72&deg;F","72.0","A Few Clouds","7 MPH","7.0","Vrbl","10.00 mi.","10.0","90404"
"2:51 PM","Newark International Airport","89&deg;F","89.0","Partly Cloudy","13 MPH","13.0","S","8.00 mi.","8.0","7036"
"NULL","NULL","57&deg;F","57.0","Overcast","10 MPH","10.0","S","10.00 mi.","10.0","97459"
"2:35 PM","Gadsden Municipal Automatic Weather Observing","86&deg;F","86.0","A Few Clouds","9 MPH","9.0","W","10.00 mi.","10.0","35903"
"2:54 PM","""Boston Logan International Airport""","61&deg;F","61.0","A Few Clouds","9 MPH","9.0","E","10.00 mi.","10.0","2120"
"12:56 PM","NULL","46&deg;F","46.0","Rain","3 MPH","3.0","S","5.00 mi.","5.0","84102"
"2:54 PM","Roanoke Regional Airport","90&deg;F","90.0","Partly Cloudy","8 MPH","8.0","SW","10.00 mi.","10.0","24153"
"2:53 PM","Hartford-Brainard Airport","83&deg;F","83.0","Fair","21 MPH","21.0","NULL","9.00 mi.","9.0","6040"
"2:35 PM","Worthington Automatic Weather Observing/Reporting","84&deg;F","84.0","Fair","17 MPH","17.0","NULL","10.00 mi.","10.0","56110"
"1:29 PM","Sandpoint Airport","52&deg;F","52.0","Overcast","3 MPH","3.0","E","7.00 mi.","7.0","83814"
"1:56 PM","Chicago/Ohare","86&deg;F","86.0","Partly Cloudy and Breezy","28 MPH","28.0","NULL","10.00 mi.","10.0","60201"
"2:51 PM","""Washington DC Reagan National Airport""","88&deg;F","88.0","Partly Cloudy","13 MPH","13.0","S","8.00 mi.","8.0","20007"
"NULL","NULL","57&deg;F","57.0","Mostly Cloudy","5 MPH","5.0","N","10.00 mi.","10.0","98354"
"NULL","Lihue Airport","82&deg;F","82.0","Partly Cloudy","18 MPH","18.0","NE","10.00 mi.","10.0","96734"
"1:53 PM","Broken Bow Municipal Airport","83&deg;F","83.0","Fair and Breezy","26 MPH","26.0","NULL","10.00 mi.","10.0","68856"
"1:53 PM","""Jackson Hawkins Field Airport""","73&deg;F","73.0","Light Rain Fog/Mist","Calm","NULL","NULL","6.00 mi.","6.0","39212"
"2:35 PM","Sheldon","86&deg;F","86.0","Partly Cloudy","14 MPH","14.0","SW","10.00 mi.","10.0","51246"
"3:16 PM","Somerset-Pulaski County-J.T. Wilson Field Airport","91&deg;F","91.0","Fair","3 MPH","3.0","W","10.00 mi.","10.0","42539"
"2:35 PM","Auburn-Opelika Airport","79&deg;F","79.0","Thunderstorm in Vicinity","6 MPH","6.0","E","10.00 mi.","10.0","36801"
"12:53 PM","Houston Hobby Airport","90&deg;F","90.0","Mostly Cloudy","9 MPH","9.0","S","10.00 mi.","10.0","77041"
"12:52 PM","Rapid City Regional Airport","81&deg;F","81.0","Fair","16 MPH","16.0","S","10.00 mi.","10.0","57701"
"1:53 PM","""Olathe Johnson County Executive Airport""","80&deg;F","80.0","Mostly Cloudy","14 MPH","14.0","S","7.00 mi.","7.0","66216"
"2:54 PM","Greater Rochester International Airport","84&deg;F","84.0","Mostly Cloudy","17 MPH","17.0","SW","7.00 mi.","7.0","14522"
"2:51 PM","""Washington DC Reagan National Airport""","88&deg;F","88.0","Partly Cloudy","13 MPH","13.0","S","8.00 mi.","8.0","22204"
"2:53 PM","Miami International Airport","76&deg;F","76.0","Light Rain","Calm","NULL","NULL","7.00 mi.","7.0","33160"
"2:45 PM","Baltimore / Martin","84&deg;F","84.0","A Few Clouds with Haze","12 MPH","12.0","SE","5.00 mi.","5.0","21220"
"1:53 PM","Nashville International Airport","84&deg;F","84.0","Thunderstorm","5 MPH","5.0","E","10.00 mi.","10.0","37201"
"2:51 PM","Charlotte/Douglas International Airport","88&deg;F","88.0","Partly Cloudy with Haze","6 MPH","6.0","SW","6.00 mi.","6.0","28202"
"1:53 PM","Alexandria International Airport","90&deg;F","90.0","Partly Cloudy","8 MPH","8.0","S","10.00 mi.","10.0","71302"
"NULL","NULL","63&deg;F","63.0","Fair","7 MPH","7.0","W","10.00 mi.","10.0","99320"
"NULL","Reno/Cannon Intl Airport","59&deg;F","59.0","Partly Cloudy","17 MPH","17.0","W","10.00 mi.","10.0","89403"
"1:52 PM","""Oklahoma City Will Rogers World Airport""","87&deg;F","87.0","Partly Cloudy","15 MPH","15.0","SW","10.00 mi.","10.0","73116"
"12:53 PM","NULL","39&deg;F","39.0","Light Rain","10 MPH","10.0","W","10.00 mi.","10.0","82930"
"1:53 PM","Memphis International Airport","74&deg;F","74.0","Overcast","10 MPH","10.0","E","10.00 mi.","10.0","38671"
"2:54 PM","""Georgetown Sussex County Airport""","89&deg;F","89.0","Fair","8 MPH","8.0","S","10.00 mi.","10.0","19950"
"2:53 PM","Meriden Markham Municipal Airport","80&deg;F","80.0","Fair","20 MPH","20.0","NULL","7.00 mi.","7.0","6479"
"NULL","Tucson Intl Airport","87&deg;F","87.0","Fair","8 MPH","8.0","W","10.00 mi.","10.0","85741"
"1:53 PM","Emporia Kansas","83&deg;F","83.0","A Few Clouds","14 MPH","14.0","SE","10.00 mi.","10.0","66845"
"12:55 PM","NULL","54&deg;F","54.0","Mostly Cloudy","3 MPH","3.0","Vrbl","10.00 mi.","10.0","59937"
"3:20 PM","Vidalia Municipal Airport","90&deg;F","90.0","Partly Cloudy","Calm","NULL","NULL","10.00 mi.","10.0","31011"
"2:35 PM","Worthington Automatic Weather Observing/Reporting","84&deg;F","84.0","Fair","17 MPH","17.0","NULL","10.00 mi.","10.0","56168"
"1:53 PM","Dallas Love Field","91&deg;F","91.0","Mostly Cloudy","18 MPH","18.0","NULL","10.00 mi.","10.0","75204"
"NULL","NULL","57&deg;F","57.0","Mostly Cloudy","5 MPH","5.0","N","10.00 mi.","10.0","98052"
"2:53 PM","""Atlanta Fulton County Airport-Brown Field""","90&deg;F","90.0","A Few Clouds","Calm","NULL","NULL","10.00 mi.","10.0","30302"
"NULL","Page Muni (amos)","79&deg;F","79.0","Fair","18 MPH","18.0","NULL","www.wrh.noaa.gov</u></a><br>","",""
"","""<a href=""""""""http://weather.gov/privacy.php"""""""">Privacy Policy</a><br>""","","","","","","","","",""
"","""<a href=""""""""http://www.nws.noaa.gov/disclaimer.html"""""""">Disclaimer</a>""""""","","88.0","","","","","","",""
"2:30 PM","Fremont Municipal Airport","88&deg;F","75.0","Partly Cloudy","21 MPH","21.0","NULL","10.00 mi.","10.0","68025"
"1:53 PM","""Muscle Shoals North West Alabama Regional Airport""","75&deg;F","75.0","Mostly Cloudy","10 MPH","10.0","NW","10.00 mi.","10.0","37096"
"2:55 PM","""Milton Whiting Field North""","75&deg;F","85.0","Mostly Cloudy","Calm","NULL","NULL","7.00 mi.","7.0","32570"
"2:54 PM","Salisbury-Wicomico County Regional Airport","85&deg;F","71.0","Mostly Cloudy","9 MPH","9.0","SE","8.00 mi.","8.0","19956"
"2:54 PM","Morrisville-Stowe State Airport","71&deg;F","84.0","Fair with Haze","5 MPH","5.0","Vrbl","6.00 mi.","6.0","5655"
"1:53 PM","""Muncie Delaware County-Johnson Field""","84&deg;F","81.0","Fair","8 MPH","8.0","W","10.00 mi.","10.0","46940"
"12:52 PM","Rapid City Regional Airport","81&deg;F","71.0","Fair","16 MPH","16.0","S","10.00 mi.","10.0","57702"
"1:54 PM","Minot International Airport","71&deg;F","88.0","Partly Cloudy","17 MPH","17.0","NULL","10.00 mi.","10.0","58784"
"1:53 PM","Guthrie Municipal Airport","88&deg;F","79.0","Fair","22 MPH","22.0","NULL","NULL","NULL","73044"
"1:52 PM","Bismarck Municipal Airport","79&deg;F","75.0","Fair","24 MPH","24.0","NULL","10.00 mi.","10.0","58501"
