STATION,STATION_NAME,DATE,HLY-CLDH-NORMAL,HLY-HTDH-NORMAL,HLY-PRES-10PCTL,HLY-PRES-90PCTL,HLY-PRES-NORMAL,HLY-CLOD-PCTBKN,HLY-CLOD-PCTCLR,HLY-CLOD-PCTFEW,HLY-CLOD-PCTOVC,HLY-CLOD-PCTSCT,HLY-DEWP-10PCTL,HLY-DEWP-90PCTL,HLY-DEWP-NORMAL,HLY-HIDX-NORMAL,HLY-TEMP-10PCTL,HLY-TEMP-90PCTL,HLY-TEMP-NORMAL,HLY-WCHL-NORMAL,HLY-WIND-AVGSPD,HLY-WIND-VCTDIR,HLY-WIND-VCTSPD,HLY-WIND-PCTCLM,HLY-WIND-1STDIR,HLY-WIND-1STPCT,HLY-WIND-2NDDIR,HLY-WIND-2NDPCT
$oid,name,time,cool_hours,heat_hours,pressure_min,pressure_max,pressure,cloud_broken,cloud_clear,pressure_min,cloud_few,cloud_overcast,dew_min,dew_max,dew,heat_index,temp_min,temp_max,temp,wind_chill,wind_speed,wind_deg,wind_mag,wind_percent,pre_wind_deg,pre_wind_percent,sec_wind_deg,sec_wind_percent
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 00:00,-777.7,10.8,1,1,1,166,339,133,258,103,24.1,53.8,41.2,54.2,48.9,59,54.2,53.8,5.6,56,2.3,105,3,324,2,177
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 01:00,-777.7,11.8,1,1,1,175,327,145,241,111,24.1,53.1,40.7,53.3,48.2,57.9,53.3,52.8,5.6,53,2.4,124,3,271,2,220
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 02:00,-777.7,12.7,1,1,1,212,328,146,232,82,24.1,53.1,40.2,52.3,46.9,57.9,52.3,51.6,5.1,54,2.7,118,3,331,2,247
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 03:00,-777.7,13.5,1,1,1,179,338,152,232,99,24.1,53.1,39.8,51.5,46,57,51.5,50.6,4.9,54,2.5,157,3,289,2,214
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 04:00,-777.7,14.2,1,1,1,159,353,132,245,111,24.1,53.1,39.6,50.8,45,57,50.8,49.9,4.9,61,2.7,168,3,342,2,219
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 05:00,-777.7,14.6,1,1,1,169,341,130,256,103,23,53.1,39,50.4,44.6,55.9,50.4,49.4,4.9,66,2.8,152,3,359,2,212
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 06:00,-777.7,14.8,1,1,1,165,334,138,257,106,23,52,38.8,50.2,44.1,57,50.2,49.2,4.9,67,2.9,164,3,386,2,176
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 07:00,-777.7,14.4,1,1,1,233,201,154,249,163,21.2,52,38.3,50.6,44.6,57,50.6,49.4,5.5,69,3.3,120,3,377,2,201
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 08:00,-777.7,12.8,1,1,1,264,189,128,277,142,21.9,52.5,38.4,52.2,46.4,57.9,52.2,51.3,5.7,70,3.6,104,3,405,2,183
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 09:00,0.1,9.8,1,1,1,266,203,131,250,151,23,53.1,38.9,55.3,50,61,55.3,54.9,6.2,74,3.7,86,3,342,2,227
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 10:00,0.4,6.8,1,1,1,241,190,174,268,126,23,53.1,39,58.6,52,66,58.6,58.4,6.4,75,3.2,86,3,309,2,207
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 11:00,1.1,4.9,1,1,1,253,186,167,267,127,21.2,53.1,39.1,61.2,54,70,61.2,61.2,6.4,80,1.6,91,3,243,4,165
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 12:00,1.7,3.9,1,1,1,287,191,152,244,126,21.2,54,39.3,62.8,55,72,62.8,62.7,6.9,240,1.4,89,7,218,4,149
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 13:00,1.7,3.7,1,1,1,273,205,135,264,124,23,54,40.6,63.1,55.9,71.6,63.1,63,8.5,248,4.3,26,7,359,6,226
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 14:00,1.4,3.9,1,1,1,292,188,143,254,123,25,54,42,62.6,55.4,71.1,62.6,62.5,9.4,249,6,16,7,463,6,239
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 15:00,1.1,4.5,1,1,1,263,175,155,281,126,27,54.9,43.3,61.6,55.4,69.8,61.6,61.6,9.7,254,6.9,7,7,533,6,235
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 16:00,0.7,5.3,1,1,1,292,176,155,271,106,28.9,55,43.9,60.4,55,66.9,60.4,60.4,9.4,256,6.6,9,7,541,6,224
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 17:00,0.3,7,1,1,1,305,165,142,255,133,30.2,55,44.8,58.4,53.1,64,58.4,58.3,8.4,260,5.9,16,7,513,6,207
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 18:00,0.2,7.8,1,1,1,262,203,129,242,165,28.9,55,44.8,57.4,53.1,63,57.4,57.3,7.4,264,4.6,42,7,450,6,204
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 19:00,0.1,8.2,1,1,1,235,256,140,231,138,28.4,55,44.4,56.9,52,62.1,56.9,56.7,6.6,272,3.2,77,7,343,6,191
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 20:00,0.1,8.4,1,1,1,208,299,138,232,123,27,55,43.9,56.7,52,62.1,56.7,56.5,5.8,301,1.7,106,7,196,1,163
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 21:00,0.1,8.8,1,1,1,173,339,117,256,117,27,55,43.3,56.3,51.1,61,56.3,56.1,5.4,12,1.1,118,1,169,3,167
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 22:00,0.1,9.6,1,1,1,163,326,131,271,110,27,55,43.1,55.5,51.1,60.1,55.5,55.2,5.3,46,1.5,130,3,228,2,142
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100101 23:00,0.1,10,1,1,1,189,315,140,241,115,26.1,54,42.5,55.1,50,60.1,55.1,54.7,5.6,49,1.9,116,3,288,1,144
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 00:00,0.1,10.8,1,1,1,175,324,135,263,103,25,54,41.8,54.3,48.9,59,54.3,53.9,5.5,60,2.3,105,3,322,2,180
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 01:00,-777.7,11.7,1,1,1,189,318,143,243,107,24.8,54,41.3,53.4,48.2,57.9,53.4,52.8,5.6,55,2.4,117,3,274,2,223
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 02:00,-777.7,12.6,1,1,1,219,310,150,237,84,24.8,53.1,40.8,52.4,46.9,57.9,52.4,51.8,5.1,57,2.7,116,3,326,2,253
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 03:00,-777.7,13.4,1,1,1,186,322,152,239,101,24.8,53.1,40.4,51.6,46.4,57,51.6,50.8,4.8,57,2.5,157,3,293,2,219
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 04:00,-777.7,14.1,1,1,1,168,336,134,251,111,24.1,53.1,40.2,50.9,45,57,50.9,50.1,4.7,64,2.8,170,3,356,2,214
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 05:00,-777.7,14.5,1,1,1,180,323,134,262,100,23,53.1,39.7,50.6,44.6,55.9,50.6,49.6,4.9,68,2.9,139,3,383,2,207
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 06:00,-777.7,14.7,1,1,1,166,319,144,265,106,24.1,52,39.5,50.3,44.6,55.9,50.3,49.3,5,68,3,152,3,391,2,180
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 07:00,-777.7,14.3,1,1,1,238,197,147,251,167,21.9,53.1,39,50.8,45,56.1,50.8,49.6,5.5,68,3.3,119,3,369,2,208
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 08:00,-777.7,12.7,1,1,1,259,182,135,273,151,23,53.1,39,52.3,46.4,57.9,52.3,51.5,5.7,69,3.7,100,3,413,2,175
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 09:00,0.1,9.7,1,1,1,266,194,149,245,146,23,53.1,39.5,55.4,50,61,55.4,55,6.2,75,3.9,83,3,354,2,221
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 10:00,0.4,6.8,1,1,1,243,186,179,264,128,23,53.1,39.7,58.6,52,66,58.6,58.5,6.4,76,3.2,82,3,321,2,194
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 11:00,1.1,4.9,1,1,1,245,180,180,268,126,21.9,53.1,39.7,61.2,54,70,61.2,61.2,6.3,82,1.8,88,3,250,4,168
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 12:00,1.7,3.9,1,1,1,280,186,161,251,123,21.9,54,40,62.8,55,72,62.8,62.7,6.8,236,1.4,94,7,225,4,152
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 13:00,1.8,3.7,1,1,1,262,201,140,266,131,23,54,41.2,63,55.4,72,63,63,8.4,248,4.2,31,7,366,6,226
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 14:00,1.4,3.9,1,1,1,290,187,143,261,120,25,54.5,42.6,62.6,55.4,71.1,62.6,62.5,9.3,249,6,16,7,463,6,243
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 15:00,1.1,4.5,1,1,1,258,179,152,283,128,28.4,55,43.8,61.6,55.4,69.1,61.6,61.6,9.6,254,6.8,7,7,536,6,230
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 16:00,0.8,5.3,1,1,1,295,179,158,269,100,30,55,44.4,60.4,55,66.9,60.4,60.4,9.3,255,6.6,9,7,546,6,219
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 17:00,0.4,7,1,1,1,300,172,142,260,126,30.9,55,45.3,58.4,53.6,64,58.4,58.3,8.3,259,5.8,18,7,511,6,215
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 18:00,0.2,7.7,1,1,1,257,210,131,242,160,30.2,55,45.2,57.5,53.1,63,57.5,57.3,7.3,263,4.5,40,7,441,6,221
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 19:00,0.1,8.1,1,1,1,236,254,141,229,141,28.9,55,44.8,57,52,62.1,57,56.9,6.5,272,3,77,7,338,6,193
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 20:00,0.1,8.3,1,1,1,204,303,143,229,121,28,55,44.3,56.8,52,62.1,56.8,56.6,5.7,299,1.7,109,7,199,1,168
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 21:00,0.1,8.6,1,1,1,180,339,117,252,112,27,55,43.6,56.5,51.8,61,56.5,56.2,5.5,14,1,115,3,175,1,171
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 22:00,-777.7,9.4,1,1,1,157,334,124,267,118,27,55,43.4,55.6,51.1,60.1,55.6,55.3,5.4,51,1.5,123,3,235,1,139
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100102 23:00,0.1,9.8,1,1,1,190,330,131,235,115,26.1,54,42.9,55.2,50,60.1,55.2,54.9,5.7,52,1.9,105,3,293,1,150
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 00:00,0.1,10.6,1,1,1,182,333,128,252,104,26.1,54,42.3,54.4,48.9,59,54.4,54.1,5.5,61,2.2,109,3,305,2,181
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 01:00,-777.7,11.5,1,1,1,184,333,132,240,111,25,54,41.7,53.5,48.2,57.9,53.5,53.1,5.5,56,2.3,128,3,279,2,209
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 02:00,-777.7,12.5,1,1,1,212,320,142,233,94,26.1,53.1,41.2,52.5,46.9,57.9,52.5,51.9,5.1,58,2.7,122,3,316,2,251
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 03:00,-777.7,13.3,1,1,1,184,334,143,242,97,25,53.1,40.8,51.7,46.4,57,51.7,51,4.8,58,2.4,156,3,301,2,205
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 04:00,-777.7,13.9,1,1,1,162,350,130,252,106,24.4,53.1,40.6,51.1,45,57,51.1,50.3,4.8,66,2.8,168,3,356,2,215
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 05:00,-777.7,14.2,1,1,1,175,337,125,262,100,24.1,53.1,40,50.8,45,57,50.8,49.9,4.8,68,2.9,140,3,368,2,208
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 06:00,-777.7,14.5,1,1,1,159,327,138,265,111,24.1,53.1,39.8,50.6,45,57,50.6,49.6,5,68,3.1,150,3,379,2,186
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 07:00,-777.7,14,1,1,1,241,200,143,250,166,23,53.1,39.3,51,45,57,51,50,5.4,69,3.4,123,3,357,2,219
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT CA US,20100103 08:00,-777.7,12.5,1,1,1,262,185,138,271,144,23,53.1,39.3,52.5,46.9,57.9,52.5,51.8,5.7,70,3.7,102,3,406,2,177
