"Accessories","Atlanta","Name","started","Joined","olchevy","Bill","For","See","","Messages","trade","information","file_name","Description","FT","Price","mags"
"Firearm---category","Firearm---category","Firearm---name","PersonOrOrganization---identifier","CreativeWork---Fragment","CreativeWork---Fragment","CreativeWork---Fragment","PostalAddress---addressRegion","CreativeWork---Fragment","Offer---name","CreativeWork---Fragment","CreativeWork---Fragment","CreativeWork---Fragment","CreativeWork---Fragment","Offer---description","Offer---name","Offer---price","PostalAddress---name"
"Rifles","","","glock27","Oct 31, 2010","ODT Junkie!"," No",".308, .223, 17 hmr 22 mag. Open to pistol trades also",":  .22     Willing to Ship:  No","124","4,950","2015","","00E352FD3B9A7BB5F96681D31BB89C567BADA6B47DB5827AC19B3B02A0123BE1.html","","","",":  Bethlehem     Zip Code:  30620"
"Ammunition","","","klondyke46","Jun 24, 2010","ODT Junkie!"," No","",":  300 Win. Mag- 7.62x39 -- 22-250 -- 243 , 7.9/8mm     Willing to Ship:  No","59","2,200","2015","","013B57E77266452CD5E52FDF2C01FC904F30A50FB33E226E9E11871E9A050E2E.html","","","",":  Spalding Co.     Zip Code:  30223"
"Revolvers","Revolvers","SW 629-0 PR, 44 mag 6 in stainless, Astra 44 mag 6 in stainless PR. + ammo","hwmike","Dec 30, 2011","Survivalist"," Yes     Billing Information:  Exchange name and address or name and GA carry permit no.","See description",":  44 spl, 44 mag     Willing to Ship:  No","111","444","2015","","0190C983C7A97B2B88C490B8E1F9B42CBF04B99BC2D1070A97BDB1FD3943FB7F.html","For sale or trade, SW 629-0 44 mag stainless 6 in pinned and recessed. Also Astra 44 mag stainless 6 in pinned and recessed. Both include the factory wood grips not pictured. Also included is the following ammo:  120 Winchester Platimun Tip 250 gr  20 Federal Premium Hunting 300 gr  20 Federal Premium Hydo Shok 240 gr  100 Remington JSP 180 gr  400 GA Arms (new ammo) Gold Dot Deer Stopper 240 gr.  A total of 560 rounds. All ammo is factory loaded in factory boxes or bags. More ammo available for the right deal. Trade interests are Steyr Aug, Micro Uzi, Mini Uzi, Chinese AKs, multiple Glocks in 9mm or 45 acp, what do you have? No interest in 1911s, 40 SW, 357 Sig, or BP. Please note that both guns look almost identical at least from a short distance. Must be a GA resident, meet close to me. Please pm all offers. Thanks for looking. Additional pics available via text.","SW 629-0 PR, 44 mag 6 in stainless, Astra 44 mag 6 in stainless PR. + ammo","$1,525.00",":  N. Gwinnett     Zip Code:  30024"
"Revolvers","Revolvers","SW 500 8.38","Sigweld17","May 3, 2015","Hunter"," No","SW 500 4, might entertain other offers; 1100",":  .500 SW Magnum     Willing to Ship:  No","10","103","2015","","06BBCA83D80E96E1D47CA964FF0FDDD4DB48CBB3F961C4DB40FF531B5CEC4C7D.html","Ive got a Smith and Wesson 500 Magnum for sale or trade. Really just wanting the 500 with a 4 barrel, but will entertain other offers. Cash price is pretty firm.    Will come with box, docs, and lock. Thanks for looking.","SW 500 8.38","950",":  Gainesville     Zip Code:  30504"
"Accessories","","","Trimax2","May 22, 2012","Frontiersman"," No","TLR HL/ Surefire 300U or similar","","97","895","2015","","07369F54052EB6260EA36A11BD4276B2543C149548158A9BAD348F38119A4DCD.html","New in box streamlight TLR-VIR. Looking to trade for a similar condition streamlight TLR HL or Surefire 300U variant    -Has both Visible and Infrared Light (for night vision devices)   -300 Lumens   -programmable strobe feature   -Comes with all accessories pictured below (batteries, tape swtch, etc.)","","",":  Macon"
"Dealer Listings - Firearms  Accessories","","","ka24_det","Nov 24, 2014","Hunter"," Yes     Billing Information:  NEEDS TO FILL OUT 4473","",":  9MM     Willing to Ship:  Yes","2","103","2015","","074ECC4E8A591DBD53257E04BCFF977AAD86673C82777892A1DFD9ED1C7C5FC4.html","Item Description:  I AM RUNNING SALE ON ALL MODEL SCCY PISTOLS AND I HAVE THEM IN A FEW DIFFERENT COLORS. THE SCCY PISTOLS ARE MARKED DOWN TO   $219 AND TAX WHICH BRINGS YOU TO $234.33 OUT THE DOOR   . THESE GUN ALSO COME WITH A LIFE TIME WARRANTY FROM THE MANUGSCTURE. THEY WILL EVEN REPLACE THE GUN IF IT STOLEN . SO COME GET THEM WHILE THEY LAST.  IF YOU HAVE ANY QUESTIONS YOU CAN REACH ME AT 770-474-6084 JUST ASK FOR ALEX OR TEXT ME @ 678-294-7086 I AM LOCATED AT  EDS PUBLIC SAFETY   4431 North Henry Boulevard   Stockbridge, GA 30281","","",":  stockbridge, GA     Zip Code:  30281"
"Rifles","","","gadawgs","Sep 9, 2014","Outdoorsman"," Yes     Billing Information:  Bill of sale, and prefer carry license copy","",":  .223     Willing to Ship:  No","0","22","2015","","09747C9BA71E4261F5AF13F954EFC87707BF97AABA8517D690F5B68D47DFF250.html","","","",":  Covington     Zip Code:  30014"
"Handguns","","","bcorley","Mar 18, 2011","Tracker"," No","","","17","163","2015","","0D27EEEF7FACB947F07DA2EBC73CD11485C75FF522B8AA1976B0A4CF469A088E.html","Taurus pt111 g2 only 20 rnds shot through it. Asking $310.","","",":  Locust grove     Zip Code:  30248"
"Rifles","","","Sedo55","Apr 16, 2013","Outdoorsman"," No","AR-15",":  30.06     Willing to Ship:  No","0","30","2015","","0E1D8499C427FC2C516AA50E221F623DA9E57B61DAEE0ADB6B2BE9483A5EFB05.html","Bell  Carlson Carbelite Stock ($160) - Olive w/ Black Web Bell and Carlson stocks are reliable over a temperature range of -50ºF to + 140ºF and all stocks are covered by a limited lifetime warranty. Besides being impervious to weather, having the benefits of strength, and the reduction of felt recoil, Bell and Carlson stocks are built to look and feel like a wood stock with which all shooters are familiar.  Bushnell Trophy Riflescope 3-9x40 Multi-X Reticle, Matte Finish ($150) - This scope features Amber Bright multi-coated optics for low light hunting situations, a rugged one-piece tube design, 100% waterproof/fog-proof/shockproof construction, dry-nitrogen filled , 1/4 M.O.A. fingertip, audible / resettable windage and elevation adjustment, and a fast-focus eyepiece.  Leather Sling ($20) - ¼” Leather sling, hooks are heavy solid brass, nicely polished and riveted to the leather. All faithful to the original 1907 sling.  Harris Bipod ($110) - 6”-9” Mounts to QD swivel studs on bolt action and single-shot rifles for ultimate field accuracy. Wont change zero; added weight steadies gun. Spring-loaded, telescoping legs adjust quickly, fold parallel to barrel for carrying. Series S bipods rotate 45° for instant leveling on uneven ground. Buffer springs and adjustable tension on hinged base help eliminate tremor.  All Metal parts coated with Robar POLYMAX ($225) which gives the following advantages:  • Chemical Resistant  • Water Resistant  • Excellent Adhesion  • Mar  Abrasion Resistant  • Excellent Hardness  • Excellent Impact Resistance   View attachment 338362       View attachment 338363        Looking for an AR-15 plus cash on my end.","","",":  newnan     Zip Code:  30263"
"Accessories","Accessories","HK 416 piston upper MR556 brand new","stelios5","Feb 5, 2011","ODT Junkie!"," No","$2000",":  556     Willing to Ship:  No","120","1,347","2015","","10F09BCE07FDF8B1C2F7B5730C828BDE289838CA0EB5D27DF2E778564496A780.html","HK now offers the long awaited civilian variant of the popular 416 upper. This MR556, match grade upper receiver assembly comes complete and ready to pin onto any standard AR-15 lower receiver. The short stroke gas piston design ensures cooler, cleaner operation of this upper for reliabilty and less time scrubbing residue out of the receiver after extended shooting sessions. Upper Receiver: MR556 Flat-Top Barrel Length: 16.5 Barrel Contour: Heavy Barrel Material: Hammer Forged Chrome Moly Steel Muzzle Thread Pattern: 1/2-28 Chrome Lined: No Barrel Finish: Parkerized Twist Rate: 1 in 7 Chamber: 5.56x45mm NATO M4 Feed Ramps: Yes Muzzle Device: A2 flash hider Gas System Length: Carbine, short stroke gas piston Gas Block Diameter: 0.750 Handguard: 9 Free Float Quad Rail  As for trades Im open to glocks,ARs,1911s something cool","HK 416 piston upper MR556 brand new","$1800",":  Roswell     Zip Code:  30076"
"Revolvers","Revolvers","44 mag Ruger Super Redhawk","Pistolier60","Aug 4, 2015","Hunter"," Quick peek at DL and CCW permit","700 trade for 45 acps, 1911s,Glock ,Sig of equal value",":  44     Willing to Ship:  No","11","140","2015","","11EC51FC0E711EA8435E6397D3AA472D555F7041E05C41DFBC800018F940671F.html","Up for trade or sale is a 44 mag Ruger Super Redhawk with 7.5 barrel.This gun is a 1 owner that I purchased from the first batch of these Ruger produced back in 1987.It has had about 100 rounds through it and comes with the stock quick detatch scope rings.Thanks for looking!","44 mag Ruger Super Redhawk","650",":  Carrollton     Zip Code:  30116"
"Accessories","","","Plt dinger","Dec 16, 2013","Hunter"," No","","","32","90","2015","","1727EE9426B745B5A5D77D9BB3A649BCE113E786C4B3F012C81F75F53E8336D3.html","Burris 2x-7x I used for a short time as scout mounted rifle scope.    Ballistic plex reticle, so it has holdover tics. for elevation. Works good.    Search Burris 200299 to find new price offerings. Exact model w/posi-lock.    Picture of scope attached to mount that fits M-38 and M96 Mauser rifle.    The mount is NOT included in this sale. May be offered later.","","",":  cumming     Zip Code:  30040"
"Dealer Listings - Firearms  Accessories","","","SilverDollar","Sep 13, 2014","Survivalist"," Yes     Billing Information:  4473 Form","",":  .22 LR     Willing to Ship:  No","12","494","2015","","1A804888439137D59B011DC22DB8785C849127B51D8AE9091B5AF6BCE1256CF3.html","Henry Repeating Arms Survival Rifle take down rifle. Brand new in the box. Breaks down and fits into the butt stock. Perfect for camping or hiking, and it floats! $215 plus tax (7%)    Silver Dollar Inc.  11680 Alpharetta Hwy.  Roswell, GA 30076  678-264-8899","","",":  Across the street from North Fulton Hospital     Zip Code:  30076"
"Rifles","Rifles","Immaculate 1975 Ruger M77 7mm mag","wg4tim","Jan 23, 2012","Tracker"," No","Possibly willing to trade for another bolt deer rifle equal value or rifle + cash on your end.",":  7mm mag     Willing to Ship:  Yes","18","238","2015","   Last edited:  Nov 17, 2015 at 12:09 PM","1A9DD999BDCD1431EFDAACD08C122903C9E4839A1FBA62DCBDA34CA0C7C8FE51.html","Pristine 1975 M77 tang safety red butt pad 7 mag. 2nd owner. This one has been a safe queen most all of its life. I know the gentleman I bought it from and he swears it has been fired less than 20 times since he bought it new. I have shot it six times after I got it just so I could say it functioned properly if I ever decided to let it go. Includes Simmons Pro 50 scope, Leupold bases and rings and 2 boxes minus 6 rounds of 150 grain ammo. Put 3 rounds in less than a 1 inch group at 100 yards.   Prefer to sell but will certainly entertain trade or trade + cash offers on another bolt action deer rifle. I love Ruger all weathers, Brownings, Tikkas, some Winchesters, some Remingtons, T/C, etc. but wouldnt be opposed to others as well.","Immaculate 1975 Ruger M77 7mm mag","600.00",":  Leesburg     Zip Code:  31763"
"Shotguns","","","jglenn","Jun 29, 2010","ODT Junkie!"," No","",":  20 Gauge     Willing to Ship:  No","36","1,173","2015","","1D2D7022AD07A22B89DBC05EA9CF785D9F1B328CF7A61F1AB9EBE3BCABAB91E0.html","New Stoeger Condor O/U in 20 Ga.    gun is unfired.. Original box included..    3 chokes.. Skeet, I/C and Modified    26 barrels","","",":  Monroe     Zip Code:  30655"
"Handguns","Handguns","XDs 45 LNIB for glock 26","ed1380","Apr 8, 2012","Survivalist"," No","500",":  45     Willing to Ship:  No","19","350","2015","","208086AAA46B27647D3FFA7B213E708CC80A53E9D0D8EAE6AA8058022EF52242.html","less than a 100 rounds through it. talon grips. fiber optic sight. looking to sell or trade for a similar G26 package. Will throw in some ammo for the right trade.    I travel between douglasville and johns creek daily, so I can meet pretty much anywhere metro ATL.","XDs 45 LNIB for glock 26","500",":  Metro ATL     Zip Code:  30135"
"Handguns","Handguns","Sig Sauer P229 SAS","CCSO","Oct 30, 2011","Frontiersman"," No","What do you have?",":  .40     Willing to Ship:  No","103","790","2015","","25FD5581766FA5BF14F8C16FAE7CD74A6F1DBCB8F76AA0DF5D00CF5FE7E6F17D.html","For sale or trade is a beautiful Sig Sauer P229 SAS DAK two tone. It has trijicon night sights, 4x 12 round mags (two blue, two phosphate), box and docs. Willing to drive reasonable distances.","Sig Sauer P229 SAS","$650",":  Dallas     Zip Code:  30157"
"Accessories","","","Sigman69","Dec 23, 2010","Survivalist"," No","","","48","334","2015","","26373D0E8B7DD3F06F10B1BDF02E25081489480EED0132E5552470CC2171085D.html","Vortex Razor HD Gen II 1-6 x 24 VMR-2 for sale. Comes with original docs, etc. I am the original owner. The mount is not included in the above price. Will sell the mount with the scope for an additional $225. Nothing wrong with the scope, I purchased this new. I decided to go another direction in scopes. Just looking to fund something new, so cash is preferred.    Thank you for looking.  PM is best way to contact","","",":  Mariett"
"Accessories","","","dustind3366","Jan 15, 2013","ODT Junkie!"," No","",":  40     Willing to Ship:  No","31","3,846","2015","","287162AF8FD5F57298B87FDB23FF4F5A7478FE8301ED21F35FFF1EA4EFE8D7CB.html","Just clearing out some extra stuff I have no use for.     (1) SD40 Magazine, full of FMJ ammo and also have 11rds left in the box of Winchester Ranger LE ammo.     Will meet in Villa Rica only.    Text only please.   (678-638-9289) Dustin","","",":  Villa Rica     Zip Code:  30180"
"Handguns","Handguns","Smith and Wesson Model 3913 Lady Smith 9mm DA/SA Stainless 8+1 Slim Magazine Nice!!!","GaSouthSideRevolver","Mar 14, 2015","Frontiersman"," No","What you got?",":  9mm     Willing to Ship:  No","44","506","2015","","2AD8D68E779D75C9DA9425CB168317CDFFA572BF04AFF15DB9B59C2B0A9C3379.html","","Smith and Wesson Model 3913 Lady Smith 9mm DA/SA Stainless 8+1 Slim Magazine Nice!!!","450.00",":  Atlanta Area     Zip Code:  30004"
"Rifles","","","jrgreen89","Feb 1, 2015","Tracker"," No","",":  7.62x39mm     Willing to Ship:  No","14","157","2015","","2C24A0E6E155B3EB36880BE39D357960B73233DBBA8200E56F23496924AF91CB.html","Gently used M+M M10 Ak47. Hate to let her go, but Im going back to school and need the cash for tuition (no trades). Feel free to PM or text with questions, thanks!    Jon    678-662-1655","","",":  Lawrenceville Hwy     Zip Code:  30033"
"Accessories","","","ch035","Jun 26, 2010","ODT Junkie!"," No","","","43","1,532","2015","","334D3360268F4AA057E2D825C71B038A31D37DF12F1180251B81330A3A7D0BC9.html","","","",":  Buford     Zip Code:  30518"
"Handguns","","","Earthman","Jan 11, 2015","Tracker"," No","500",":  9mm     Willing to Ship:  No","4","237","2015","","33CA265B319B1AE9AF8CF7A7F98B2318B6509BFCDB09B70EBF14B96113BA887B.html","I have a bnib Glock 43 unfired and new iwb Tagua holster. And all the goodies.  Looking to trade for a sig 938,kimber solo,or sig 290 in good condition I want the 290 that came with 2 mags and holster box and docs.Can add 100 cash for the solo or sig. Will swap even for Sig 290 rs in good condition.","","",":  Villa Rica     Zip Code:  30180"
"Rifles","Rifles","HR Handi Rifle in 243 With Osprey Scope","billieco","Feb 28, 2013","ODT Junkie!"," No","Handi Rifle in 300 Blackout, .22 Bolt Gun, .17 HMR, J frame Smith",":  243     Willing to Ship:  No","108","1,430","2015","","3851D1C6B6CD91E940174E8D7F9018B5955682F7064B490EB8DB155A27DB7F71.html","I have an HR Handi Rifle in 243. Great shape. Very few rounds fired. Without Scope and rings. Would rather trade but will take $225 cash FIRM. No scope","HR Handi Rifle in 243 With Osprey Scope","$225",":  Cumming     Zip Code:  30028"
"Handguns","","","voodoochild1989","Sep 2, 2012","ODT Junkie!"," No","hk up tactical 9mm",":  9mm     Willing to Ship:  No","33","1,713","2015","","3A0E996F08FA469F6307107E253B93BB32195AD4D15053AEC493D2ABA25612C6.html","Looking to trade my Beretta m9a3 for a hk usp tactical in 9mm. Just bought it less than a week ago and put ONE round through it for kicks. Great gun but Im an hk fan at heart. Has trijicon night sights, threaded barrel with 1/2 x 28 threads, 3 17 round mags, standard and rubber grips, case, box, and docs","","",":  marietta     Zip Code:  30066"
"Handguns","","","basser777","Jul 2, 2010","Survivalist"," No","","","98","333","2015","","3B1B9EFE92ED6501DD6A64E7C91CB3DD109BEAF8C3B4C080B0FB681986361AF8.html","","","",":  Cumming     Zip Code:  30506"
"Handguns","","","chris lewis","Nov 25, 2010","Tracker"," No","",":  9     Willing to Ship:  No","14","152","2015","","3DAD670C44C4175D022D2BAD7A85AF79D674186CA29DC1ACDDC00B5E23E6E68A.html","Sig P238 9 mm.....Brand new. Never been shot or even loaded. Comes with all paperwork and box, box of roundball ammo and personal defense ammo. Clip has had an extension added","","",":  rossville     Zip Code:  30741"
