"Parts","onto","","in","Since","new","deaf","Details","Reply","Shotguns","Sum","file_name","ID","Listed","dsturnerville","Binoculars","Description","Ads","Tweet"
"Firearm---category","Firearm---category","Firearm---name","PersonOrOrganization---identifier","CreativeWork---Fragment","CreativeWork---Fragment","CreativeWork---Fragment","CreativeWork---Fragment","CreativeWork---Fragment","CreativeWork---Fragment","CreativeWork---Fragment","CreativeWork---Fragment","Offer---identifier","Offer---datePosted","Offer---datePosted","Offer---description","Offer---description","Offer---name","Offer---price"
"Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts","Revolvers","Freedom Arms 454 Casull","yeowie1","January 6, 2014","div id=""respond","No ad details found."," No ad details found.","Click here to cancel reply.","325","2015","03273E3930D395746816180D077F6DE17464EA24881EBCEA37408C9DE58952CE.html","86650906216c058c","October 30, 2012 11:35 pm","on October 30, 2012","Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading","Freedom Arms 454 Casull,4 slice magna porting done,Pacymer grip, Leopold 4x scope. With custom leather holster.","   Guns for Sale    Revolvers   Freedom Arms 454 Casull","$ 1850"
"Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts","Pistols","Buy Umarex XBG Air Pistols","gunsandsupply","July 26, 2014","div id=""respond","No ad details found."," No ad details found.","Click here to cancel reply.","300","2015","1036E5A9CFB72BD8D4B7F98DFF8A2D78AD585B8034892D17096F7F78C9C69EF4.html","6553d3851707441","July 26, 2014 10:51 am","on July 26, 2014","Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits","If you are sport persons, hobby for hutting, shooting and camping you contact at 888-745-2080 and buy Umarex XBG Air Pistols from Midwest Shooting Sports and Supply LLC at affordable price.    For more information visit our website www.gunsandsupply.com","   Guns for Sale    Pistols   Buy Umarex XBG Air Pistols","25.82"
"Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts","Misc","Molle Plate Carrier With level IV Plates","eastsidep","June 19, 2014","div id=""respond","","   Zip/Postal Code:  33316   City:  Fort Lauderdale   State:  Florid","Cancel Reply","603","2015","10DDDF7BF34D55FA9BA85C45EDE23167AF1B7DBCCD8542958B973744BA793D61.html","36153a319be51ac0","June 19, 2014 5:26 pm","on June 19, 2014","Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines","Molle Plate Carrier With FOUR level IV Plates  WITH TWO EXTRA SIDE PLATE CARRIERS  Please Contact us at (954) 527-2508 or by email at EASTPB@BELLSOUTH.NET FOR ADDITIONAL PICTURES AND DETAILS OF THE ITEM. Florida resident must pay sales tax on any item sold. WE WOULD LIKE TO EARN A POSITIVE FEEDBACK AND REPEAT BUSINESS FROM YOU. THANK YOU AND HAVE A GREAT DAY","      Misc      Molle Plate Carrier With level IV Plates","699.99"
"Rifles   Rimfire   Shotgun Parts","Rifles","DPMS AR15 Magpul Equipped Stock Handguard Gri","dealerinallguns","May 29, 2014","div id=""respond","No ad details found."," No ad details found.","Click here to cancel reply.","592","2015","1656F03B213A30E04146D7B083DC6AE271EE3EFAE8F2CF3F0D8C218EF5E876AF.html","1535387ae793f860","May 29, 2014 10:08 pm","on May 29, 2014","Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes","This Package Includes the Following:   Magpul MOE Stock   Magpul Plus Grip   Magpul Handguard   (1) 30rd Magazine from DPMS   (1) 30rd Magpul Magazine   16 Barrel, Collapsible Stock   ADD Flip UP Sights, Front/Rear for Additional $49   OR ADD UTG Red/Green Circle Dot Optic for $55","   Guns for Sale    Rifles   DPMS AR15 Magpul Equipped Stock Handguard Gri","700.00"
"Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts","Handgun Ammunition","380 Auto FMJ NEW","wgp8435","January 5, 2014","div id=""respond","No ad details found."," No ad details found.","Click here to cancel reply.","75","2015","182B0F5E93A389D1330B56F009CAE10BF9742C53AB79A30B75FF2974A0EDD9A4.html","1394eeb9a90b060","December 16, 2011 7:24 pm","on December 16, 2011","Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools","9 boxes of NEW Tula with steel casing. 50/rds per box. $77 ($8.50/per box) 210 367 0593","   Ammunition    Handgun Ammunition   380 Auto FMJ NEW","$77 for 9 boxes"
"Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts","Holsters","Blackhawk Serpa Concealment Sportster Holster 00","DravesArchery","April 8, 2014","div id=""respond","No ad details found."," No ad details found.","Click here to cancel reply.","109","2015","2F6EDF1A3179EA4D82B19E17A4BF1B39CB33BC828D13C38289137AF5B0A5D26E.html","9355344271fa6637","April 8, 2014 4:46 pm","on April 8, 2014","Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts","Holds Glock 26/27/33    Developed for civillian concealed carry and range use, but still has great patented Serpa design   Traditional polymer material construction found in other injection molded holsters   Comes with Paddle Platform only","   Gun Parts and Accessories    Holsters   Blackhawk Serpa Concealment Sportster Holster 00","32.99"
"Rifles   Rimfire   Shotgun Parts","Rifles","AR-15 COLT A-2 MODEL","constamaldo123","January 5, 2014","h2 class=""dotted"">No Responses to  AR-15 COLT A-2 MODEL                   J4  on  January 25, 2013 @ 5:12 am           Hey, seen you have posted this a few times. If you want to make a deal with more pics, stats, Id be more interested. Gonna be another 13 days before I get paid, but am very interested         Reply","No ad details found."," No ad details found.","Click here to cancel reply.","114","2015","2FCC6B3C7ABCA0B50F39E43AD45EAA71A03D83DD14743A4875D17C0A53EB9440.html","83850f05c7e47a64","January 11, 2013 6:42 pm","on January 11, 2013","Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes","AR-15 COLT A-2 MODEL GOVERMENT IN EXCELLENT COND.WORTH ABOUT $3000","   Guns for Sale    Rifles   AR-15 COLT A-2 MODEL","2,000.00"
"Rifles   Rimfire   Shotgun Parts","Rifles","Ruger 10/22 carbine","grandewhit","January 5, 2014","h2 class=""dotted"">No Responses to  Ruger 10/22 carbine                   Tim  on  April 15, 2012 @ 2:58 am           Do you still have the Ruger? If so, would you be available Sunday (tomorrow)? You can call my cell phone: 214-208-2163 (though I have very bad reception where I am) or a local number: 903-734-7496. Thanks.         Reply","No ad details found.","   This item has been sold   No ad details found.","Click here to cancel reply.","106","2015","35728A97E3369966FD148220212ECF3BC439E06AA3735A796282F7EC091845EE.html","4234f821fd868afc","April 8, 2012 11:36 pm","on April 8, 2012","Black Powder   Gun Parts and Accessories   Gun Storage   Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes","nice 10/22 wood stock blued steel junky scope with see thru mounts its about 20 yrs old but in great shape $185","   Guns for Sale    Rifles   Ruger 10/22 carbine","185.00"
"Guns for Sale   Gunsmithing Tools   Handgun Ammunition   Handgun Parts   Holsters   Laser Sights   Magazines   Misc   Night Vision   Optics   Part Kits   Pistols   Red Dot Sights   Reloading   Revolvers   Rifle Ammunition   Rifle Parts   Rifle Scopes   Rifles   Rimfire   Shotgun Parts","Guns for Sale","beretta 96a1","jordan23","January 5, 2014","div id=""respond","No ad details found."," No ad details found.","Click here to cancel reply.","94","2015","3E60F6332692B8A59F75B8734048092E989C5EA83935EECAD204A7AC7DFC33B5.html","7064d7b99a66c1dd","March 12, 2011 4:08 pm","on March 12, 2011","Black Powder   Gun Parts and Accessories   Gun Storage","I have a beretta 96a1 (40cal) with light rail,and comes with box,paperwork,locks,3-13rd mags. Gun has one clip down range. Also has hogue wraparound grips on it,and will include factory ones as well. Want to sell or trade let me know what you got-hk,glock etc. You can text me at 903-467-7793","   Guns for Sale   beretta 96a1","575.00"
