"additionalInfo","object_uri","title","imageUrl","artist_uri","dimensions","technique_uri","technique","ethnicity_uri","enthnicity","artist_appellation_uri","artist","provenance"
"E22_Man-Made_Object---P3_has_note","E22_Man-Made_Object---dev#classLink","E35_Title---rdf-schema#label","E38_Image---dev#classLink","E39_Actor---dev#classLink","E54_Dimension---P3_has_note","E55_Type---dev#classLink","E55_Type---rdf-schema#label","E55_Type---dev#classLink","E55_Type---rdf-schema#label","E82_Actor_Appellation---dev#classLink","E82_Actor_Appellation---rdf-schema#label","E8_Acquisition---P3_has_note"
"Bust of Frederick Douglass (1818-1895) ""portrayed as a young man at the height of his power from photographs taken at that time"".","","Bust of Frederick Douglass","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDouglass+bust%2Ejpg","","26"" H x 24"" W x 12.5"" D","","Cast bronze with patina","","Russian American","","Alexander Kricheff","Gift of Florence Kricheff in loving memory of Alexander Kricheff"
"Red male figure (modeled after Saint Sebastian) attempting to remove bramble that has pierced various portions of his body.","","Bramble Dance","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CSaar%5FBrambleMan%2EJPG","","74"" H x 31.5"" W","","Mixed media/cement fresco on wood","","African American","","Alison Saar","Gift of Gary and Tracy Mezzatesta"
"photograph of Ella Fitzgerald performing in a yellow satin dress; used by Pablo recordings.","","Photographs of Performing Artists, 1973-1989 [Ella Fitzgerald]","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5CFringe%2Ejpg","","10"" H x 8"" W","","photograph","","African American","","Allen J. Winigrad","Gift of The Ella Fitzgerald Charitable Foundation"
"Black baby doll with sleep eyes, movable arms and legs dressed in hand-made outfit.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDolls%5CParkhurst%5Fdoll+copy%2Ejpg","","18"" H x 8.5"" W x 4"" D","","Plastic, vinyl, polyester","","African American","","Allied-Grand Doll Mfg. Inc.","Gift of Margaret Anton Parkhurst"
"A rather abstract still life painting of a vase of flowers resting on a table top with a smaller vase of pot containing a plant sitting next to it.","","Still Life ( Mexico)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDASFOT%7E1%5CALMA%2EJPG","","33 x 25""","","Oil on panel","","African American","","Alma Woodsey Thomas","Gift of Dr. and Mrs. Leon O. Banks"
"Altered version of United States flag with eight red & white vertical stripes, nine red & white horizontal stripes, with blue field depicting abstract white and black figures--on a black and white background split equally in half.","","Untitled","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CAlonzo%5FDavis%5CDavis%5FFlag%2EJPG","","49.5 x 41""","","Oil on canvas","","African American","","Alonzo Joseph Davis","Gift of Frank and Ruth Drucker"
"Painting of white and natural colored figures on three (3) different colored quadrants. The upper PL quadrant is blue.","","Black Square","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CAlonzo%5FDavis%5CDavis%5FBlkSquare%2EJPG","","31.75 x 26.25""","","Oil on canvas","","African American","","Alonzo Joseph Davis","Gift of Frank and Ruth Drucker"
"Eight (8) framed correspondence note cards surround a photograph of James ""Cool Papa"" Bell and an autographed National Baseball Hall of Fame & Museum card.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5CMoss%5FCoolBell%2Ejpg","","Framed at 21.75"" H x 24.25"" W","","Ink on paper; photo-mechanical reproduction","","African American","","Ambler Moss and James ""Cool Papa"" Bell","Gift of Ambler H. Moss"
"Program dedicated to the ""brave, determined members of the 99th Air Squadron, who stood the acid test while all the world looked on, and downed eight of the enemy planes manned by Germany's 'supermen' forcing the rest of the opposing forces to flee.""","","99th Pursuit Squadron First Annual Banquet","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5CAAPS%5FFirstAnnualBanquet%2Ejpg","","10"" H x 7.25"" W","","Rotogravure on paper","","African American","","American Anti-Predjudice Society","Gift of Christine Roberts, in memory of her Grandmother, Christina Palmer Schoene"
