"artistURI","objectURI","artworkTitle","birthDate","deathDate","dateOfStartOfCreation","dateOfEndOfCreation","dimensions","medium_URI","medium","classification_URI","classification","nationality_URI","nationality","artistAppellationURI","artistName","creditLine"
"E21_Person---dev#classLink","E22_Man-Made_Object---dev#classLink","E35_Title---rdf-schema#label","E52_Time-Span---P82_at_some_time_within","E52_Time-Span---P82_at_some_time_within","E52_Time-Span---P82a_begin_of_the_begin","E52_Time-Span---P82b_end_of_the_end","E54_Dimension---P3_has_note","E55_Type---dev#classLink","E55_Type---rdf-schema#label","E55_Type---dev#classLink","E55_Type---rdf-schema#label","E74_Group---dev#classLink","E74_Group---rdf-schema#label","E82_Actor_Appellation---dev#classLink","E82_Actor_Appellation---rdf-schema#label","E8_Acquisition---P3_has_note"
"","","Truth Will Not Always Give You Art","1953","MetDoesntKnow","1982","1982","H. 14, W. 17 inches (35.6 x 43.2 cm.)","","Oil on handmade paper","","Drawings","","American","","Gayil Nalls","Kathryn E. Hurd Fund, 1983"
"","","Attic","1904","1997","1949","1949","61 7/8 x 81in. (157.2 x 205.7cm) 62 5/8 x 81 3/4 x 2 1/2 in. (159.1 x 207.6 x 6.4 cm) (Frame)","","Oil, enamel, and newspaper transfer on canvas","","Paintings","","MetDoesntKnow","","Willem de Kooning","The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, in honor of her son, Glenn David Steinberg, 1982"
"","","Black Valhalla","1943","MetDoesntKnow","1976","1976","H. 52-1/8, W. 76-1/4 inches (132.4 x 193.4 cm.)","","Encaustic on canvas","","Paintings","","American","","Noah Jemison","George A. Hearn Fund, 1977"
"","","Untitled","1912","1956","1938?","1941","H. 11-1/8, W. 18-7/8 inches (28.3 x 50.5 cm.)","","Gouache, watercolor, colored pencil, and pen, brush, and India ink on cardboard","","Drawings","","American","","Jackson Pollock","Gift of Lee Krasner Pollock, 1982"
"","","Mrs. Anstis Stone","1757","1803","1802?","1802?","1 7/8 x 1 9/16 in. (4.8 x 4 cm)","","Watercolor on ivory in gold case","","Paintings","","MetDoesntKnow","","William Verstille","Dale T. Johnson Fund, 2006"
"","","Coney Island","1877","1946","1914","1914","Diameter: 41-3/4 inches (106 cm.)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Joseph Stella","George A. Hearn Fund, 1963"
"","","Studio Interior","1892","1964","1917","1917","18 7/8 x 23in. (47.9 x 58.4cm)","","Oil on canvas","","Paintings","","American","","Stuart Davis","George A. Hearn Fund, 1994"
"","","Albert Gallatin","1755","1828","1803?","1803?","29 3/8 x 24 7/8 in. (74.6 x 63.2 cm)","","Oil on canvas","","Paintings","","American","","Gilbert Stuart","Gift of Frederic W. Stevens, 1908"
"","","Untitled No. 8","1935","MetDoesntKnow","1985","1985","H. 108, W. 84 inches (274.3 x 213.4 cm.)","","Oil and oil stick on canvas","","Paintings","","American","","Oliver Jackson","Gift of Mr. and Mrs. Gerald D. Kohs, 1988"
"","","Head in Red","1919","2010","1964","1964","H. 8, W. 9-7/8 inches (20.3 x 25.1 cm.)","","Oil on canvas","","Paintings","","American","","Lester Johnson","Gift of Stuart D. Buchalter, 1983"
"","","George Washington","1755","1828","1920?","1920?","Sight: 3 5/16 x 2 1/2 in. (8.4 x 6.4 cm)","","Watercolor on ivory","","Paintings","","American","","After Gilbert Stuart","Bequest of Mary Clark Thompson, 1924"
"","","Delaware Water Gap","1825","1894","1861","1861","36 x 50 1/4 in. (91.4 x 127.6 cm)","","Oil on canvas","","Paintings","","American","","George Inness","Morris K. Jesup Fund, 1932"
"","","Landscape in Provence","1909","1998","1967","1967","45 1/4 x 57 3/4in. (114.9 x 146.7cm) 47 1/2 x 60 x 1 3/4 in. (120.7 x 152.4 x 4.4 cm) (Frame)","","Oil on canvas","","Paintings","","American","","Loren MacIver","Purchase, Maria-Gaetana Matisse Gift, 1993"
"","","Nicoll Havens Dering","1816","1906","1871","1871","30 x 25 in. (76.2 x 63.5 cm)","","Oil on canvas","","Paintings","","American","","Daniel Huntington","Gift of Sylvester Dering, 1916"
"","","Untitled","1904","1980","1960","1960","H. 113, W. 146-1/4 inches (287 x 371.5 cm.)","","Oil on canvas","","Paintings","","American","","Clyfford Still","Gift of Mrs. Clyfford Still, 1986"
"","","Ten Cents A Ride","1896","1969","1942","1942","45 x 30in. (114.3 x 76.2cm) 47 1/2 x 32 1/4 x 2 1/4 in. (120.7 x 81.9 x 5.7 cm) (Frame)","","Oil on canvas","","Paintings","","American","","Louis Bouch�","George A. Hearn Fund, 1942"
"","","One Third of a Nation","1906","1956","1939","1939","H. 30, W. 24 inches (76.2 x 61 cm.)","","Oil and tempera on wood","","Paintings","","MetDoesntKnow","","O. Louis Guglielmi","Gift of New York City W. P. A., 1943"
"","","Mrs. William Williamson (Elizabeth Ann Timothy)","1743","1812","1775?","1785","1 7/16 x 1 3/16 in. (3.7 x 3 cm)","","Watercolor and gouache on ivory","","Paintings","","MetDoesntKnow","","Henry Benbridge","Rogers Fund, 1926"
"","","Matilda Stoughton de Jaudenes","1755","1828","1794","1794","50 5/8 x 39 1/2 in. (128.6 x 100.3 cm)","","Oil on canvas","","Paintings","","American","","Gilbert Stuart","Rogers Fund, 1907"
"","","Lake of Lecco (from Switzerland 1869 Sketchbook)","1856","1925","1869","1869","7 3/4 x 11 3/4 in. (19.7 x 29.8 cm)","","Watercolor, gouache, and graphite on off-white wove paper","","Drawings","","American","","John Singer Sargent","Gift of Mrs. Francis Ormond, 1950"
"","","Landscape with Ruins (from Sketchbook)","1828","1891","1869","1869","4 1/2 x 9 in. (11.4 x 22.9 cm)","","Graphite and white gouache on blue wove paper","","Drawings","","American","","Jervis McEntee","Morris K. Jesup Fund, 1982"
"","","Design for window","1848","1933","late19th","early20thcentury","Overall: 24 1/2 x 14 9/16 in. (62.2 x 37 cm) Design: 14 9/16 x 5 5/8 in. (37 x 14.3 cm)","","Graphite, brown and black wash, and white gouache on sketching board","","Architecture","","American","","Louis Comfort Tiffany","Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"","","Prescience","1899","1978","1942","1942","28 1/4 x 40 1/2in. (71.8 x 102.9cm)","","Oil on canvas","","Paintings","","American","","Charles Houghten Howard","Arthur Hoppock Hearn Fund, 1942"
"","","Stage Fort across Gloucester Harbor","1804","1865","1862","1862","38 x 60 in. (96.5 x 152.4 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Fitz Henry Lane","Purchase, Rogers and Fletcher Funds, Erving and Joyce Wolf Fund, Raymond J. Horowitz Gift, Bequest of Richard De Wolfe Brixey, by exchange, and John Osgood and Elizabeth Amis Cameron Blanchard Memorial Fund, 1978"
"","","Knowledge of the Past Is the Key to the Future: Some Afterthoughts on Discovery","1925","2009","1986","1986","H. 90, W. 114 inches (228.6 x 249.6 cm.)","","Acrylic on canvas","","Paintings","","American","","Robert Colescott","Arthur Hoppock Hearn Fund, 1987"
"","","East River from the Shelton Hotel","1887","1986","1928","1928","12 x 32 in. (30.5 x 81.3 cm)","","Oil on canvas","","Paintings","","American","","Georgia O'Keeffe","Alfred Stieglitz Collection, Bequest of Georgia O'Keeffe, 1986"
"","","J. W. Gale","1779","1852","1807?","1807?","Sight: 2 15/16 x 2 1/4 in. (7.5 x 5.7 cm)","","Watercolor on ivory","","Paintings","","MetDoesntKnow","","Anson Dickinson","Bequest of Mary Anna Palmer Draper, 1914"
"","","Reclining Girl","1885","1930","1921","1921","H. 36-1/2, W. 28-3/4 inches (92.7 x 73 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Jules Pascin","Gift of Mrs. Yasuo Kuniyoshi, 1992"
"","","Afternoon Still Life","1946","MetDoesntKnow","1976","1976","H. 36, W. 31-1/8 inches (91.4 x 79.1 cm.)","","Oil on canvas","","Paintings","","American","","Catherine Murphy","Gift of Patrica and Henry Tang, 1986"
"","","A Brittany Beadle�Sketch from Nature","1835","1910","1856","1856","5 3/4 x 4 in. (14.6 x 10.2 cm)","","Watercolor and gouache with graphite on brown wove paper","","Drawings","","American","","John La Farge","Gift of Mrs. William G. Peckham, 1951"
"","","Excursionists, Nahant","1858","1924","1896?","1897","19 1/2 x 14 3/16 in. (49.5 x 36 cm)","","Watercolor, gouache, and graphite on off-white wove paper","","Drawings","","American","","Maurice Brazil Prendergast","The Lesley and Emma Sheafer Collection, Bequest of Emma A. Sheafer, 1973"
"","","Prototype, Number 1","1941","MetDoesntKnow","1980","1980","H. 48-1/2, W. 96 inches (123.2 x 243.8 cm.)","","Acrylic and rhoplex on canvas","","Paintings","","American","","Joe Zucker","Gift of Barbara and Eugene Schwartz, 1988"
"","","Henry Pearson","1911","2012","1967","1967","H. 39-3/4, W. 32-1/2 inches (101 x 82.6 cm.)","","Oil on canvas","","Paintings","","American","","Will Barnet","Gift of Mrs. Will Barnet, 1981"
