"artistURI","sourceURL","provenance","galleryLabel","title","imageURL","birthDate","deathDate","creationDate","dimensions","materialsURI","materials","provenanceTypeURI","galleryLabelTypeURI","nationalityURI","nationality","artistAppellationURI","artistFirstLast","creditLine"
"E21_Person---dev#classLink","E22_Man-Made_Object---dev#classLink","E33_Linguistic_Object---P3_has_note","E33_Linguistic_Object---P3_has_note","E35_Title---rdf-schema#label","E38_Image---dev#classLink","E52_Time-Span---P82_at_some_time_within","E52_Time-Span---P82_at_some_time_within","E52_Time-Span---P82_at_some_time_within","E54_Dimension---P3_has_note","E55_Type---dev#classLink","E55_Type---rdf-schema#label","E55_Type---dev#classLink","E55_Type---dev#classLink","E74_Group---dev#classLink","E74_Group---rdf-schema#label","E82_Actor_Appellation---dev#classLink","E82_Actor_Appellation---rdf-schema#label","E8_Acquisition---P3_has_note"
"","http://www.imamuseum.org/art/collections/artwork/joy-waters-frishmuth-harriet-whitney","","","Joy of the Waters","
            http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/b4/b42f9a2c-2c39-4f1b-bd1a-5283cec26a29.jpg
        ","","","","H: 61 in.","","bronze","","","","American","","","Gift of the Friends of American Art"
"","http://www.imamuseum.org/art/collections/artwork/concave-or-standing-woman-archipenko-alexander
        ","Purchase from Perls Gallery, New York, on April 6, 1962, by Frank C. Springer, Jr. and Irving Moxley
            Springer, Indianapolis, for $2,070
            Partial gift to the IMA from Frank C. Springer, from 1991 through 2006.
        ","This female figure, an elegantly abstracted form from the prime of the artist's career in Paris,
            reflects Archipenko's innovative exploration of form and space, void and concavity.
            As Archipenko observed: ""in art the shape of the empty space should be no less important than the meaning of
            the shape of solid matter.""
        ","Concave or Standing Woman","
            http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/60/6079be07-d6e7-4782-8141-51cbcac8ef28.jpg
        ","","","1917","H: 12 3/4 in.","","bronze with green patina","","","","American","","","Gift of Frank C. Springer, Jr. in memory of his wife, Irving Moxley Springer"
"","http://www.imamuseum.org/art/collections/artwork/henry-look-unhitching-benton-thomas-hart","Owned by Mr. and Mrs. Joseph Cantor","Benton was the leader of the Regionalist artists who favored images of America, especially the
            rural Midwest.
            The rhythmic curving lines of the composition suggest the vitality of nature and are characteristic of
            Benton’s work .
             
        ","Henry Look Unhitching","
            http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/80/8008f171-7a03-4d8c-856c-31a1ba61e1ac.jpg
        ","","","about 1942","","","oil on canvas","","","","American","","","Gift of Mr. and Mrs. Joseph Cantor"
"","http://www.imamuseum.org/art/collections/artwork/new-york-new-haven-and-hartford-hopper-edward
        ","From the artist to (Frank Rehn Gallery, New York); purchased by the Indianapolis Museum of Art in
            1932 (32.177).
        ","
            Although Hopper is best known for his views of New York interiors and buildings, he also painted landscapes
            that capture the starkness of rural New England.
            Devoid of people, Hopper’s landscapes have an abandoned atmosphere that echoes the loneliness and isolation
            of his urban scenes.
            This canvas, named after the East Coast railroad line, was painted during the Depression and depicts a
            landscape and desolate house along the railroad tracks. The prominence of the tracks suggests Hopper’s
            recurring theme of transience and the solitude of the traveler.
        ","New York, New Haven and Hartford","
            http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/8a/8a66776f-02fd-44d0-9760-e5576e257fb4.jpg
        ","","","1931","","","oil on canvas","","","","American","","","Emma Harter Sweetser Fund"
"","http://www.imamuseum.org/art/collections/artwork/afternoon-yellow-room-frieseke-frederick-carl
        ","(R.C. and N.M. Vose, Boston); Mrs. John N. Carey; purchased by the Indianapolis Museum of Art in
            1929 (29.71).
        ","The colorful patterns and glowing sunshine are signature elements of Frieseke's work.
            Frieseke's paintings of female figures made him one of America's most popular Impressionists.
            The artist spent his summers painting at Giverny, France near the home of French Impressionist Claude Monet.
        ","Afternoon - Yellow Room","
            http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/d6/d6c08cdc-bf20-423f-863e-8a354001da98.jpg
        ","","","1910","","","oil on canvas","","","","American","","","James E. Roberts Fund"
"","http://www.imamuseum.org/art/collections/artwork/washington-street-indianapolis-dusk-groll-theodor
        ","The artist; Edgar Jetter, Verden; sold through Ben Weinref Ltd. and Sotheby's to Indianapolis Museum
            of Art 1972
        ","This cityscape features the State House, the brilliantly lighted Park Theatre, and Washington
            Street's bustling commercial life.  The tower of the old Marion County Courthouse can be seen in the
            distance.
            Groll, a German artist, came to judge the German paintings at the 1893 Chicago World's Fair and also spent
            time visiting relatives here.
        ","Washington Street, Indianapolis at Dusk","
            http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/ae/aefeab30-cb90-4b8f-aeaf-1d5de4c5988e.jpg
        ","","","1892-1895","","","oil on canvas","","","","German","","","Gift of a Couple of Old Hoosiers"
"","http://www.imamuseum.org/art/collections/artwork/herman-and-verman-poe-hugh-m","","Herman and Verman are two characters from Hoosier author Booth Tarkington’s trilogy of Penrod
            stories published between 1914 and 1929.
            This candid, sensitive portrait won a certificate of merit at the Indiana artists annual exhibition at the
            Herron Art Institute in 1924. 
        ","Herman and Verman","
            http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/e1/e1bb0758-e22e-4b48-8d6f-02bbf8288f8e.jpg
        ","","","1924","","","oil on canvas","","","","American","","","Gift of Mrs. John N. Carey"
"","http://www.imamuseum.org/art/collections/artwork/summer-day-twachtman-john-henry","Purchased from the Inaugural Exhibition through the John Herron Fund - probably owned by the estate
            previously
        ","The painting's complex color harmonies and crusty interwoven strokes infused with soft light
            exhibit the elements that make Twachtman a key American Impressionist.
            This peaceful scene was painted on the artist's farm in Connecticut.
        ","A Summer Day","
            http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/c6/c6a1ee8b-4215-4a0a-9903-cecf975c5360.jpg
        ","","","about 1900","","","oil on canvas","","","","American","","","John Herron Fund"
"","http://www.imamuseum.org/art/collections/artwork/end-porch-john-sharman","Judge Alex Simpson Jr. 1919; Rosenbach Galleries Philadelphia...Mr. and Mrs. John G. Rauch Sr. of
            Indianapolis after 1925; purchased from Mrs. John G. Rauch Sr. 1981
        ","The intricate network of trellis, railing and awning are woven into an ordered composition.
            Strokes of brilliant color are applied with a sensitivity to light and shade acquired from regular outdoor
            painting.
            Sharman's current obscurity is hard to understand considering this beautiful scene.
        ","At the End of the Porch","
            http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/0c/0c816ef0-87cc-4090-b962-8f9d2b0df1f4.jpg
        ","","","about 1918","","","oil on canvas","","","","American","","","James E. Roberts Fund"
