"Artist_uri","Object_URI","Label_on_page","origin","title","image_url","dates","birth_year","death_year","dimension","technique_uri","technique","label_type_uri","origin_type_uri","nationality_uri","nationality","Artist_appellation_uri","name","credit_line"
"E21_Person---dev#classLink","E22_Man-Made_Object---dev#classLink","E33_Linguistic_Object---P3_has_note","E33_Linguistic_Object---P3_has_note","E35_Title---rdf-schema#label","E38_Image---dev#classLink","E52_Time-Span---P82_at_some_time_within","E52_Time-Span---P82_at_some_time_within","E52_Time-Span---P82_at_some_time_within","E54_Dimension---P3_has_note","E55_Type---dev#classLink","E55_Type---rdf-schema#label","E55_Type---dev#classLink","E55_Type---dev#classLink","E74_Group---dev#classLink","E74_Group---rdf-schema#label","E82_Actor_Appellation---dev#classLink","E82_Actor_Appellation---rdf-schema#label","E8_Acquisition---P3_has_note"
"","","","Made in United States, North and Central America","""He That Tilleth His Land Shall Be Satisfied""","http://www.philamuseum.org/images/cad/large/1965-209-5-ov.jpg","c. 1850","","","22 7/16 x 29 3/4 inches (57 x 75.6 cm)
Framed: 26 3/8 x 33 5/8 x 2 inches (67 x 85.4 x 5.1 cm)","","Oil on wood panel","","","","American","","Artist/maker unknown","The Collection of Edgar William and Bernice Chrysler Garbisch, 1965"
"","","","Made in United States, North and Central America","Baptism (Church Interior)","http://www.philamuseum.org/images/cad/large/1946-5-1-nyd.jpg","c. 1900","","","43 1/2 x 33 3/16 inches (110.5 x 84.3 cm)","","Oil on canvas","","","","American","","Julius Gari Melchers","The Alex Simpson, Jr., Collection, 1946"
"","","Most of Eakins's paintings after 1886 were portraits, but he returned to sporting subjects in the late 1890s with a series that he began after attending professional boxing matches at the Philadelphia Arena (then located at the intersection of Broad and Cherry Streets, diagonally across from the Pennsylvania Academy of the Fine Arts). The resulting canvases were as revolutionary in their subject matter as his rowing scenes had been more than two decades earlier.","Made in Philadelphia, Pennsylvania, United States, North and Central America","Between Rounds","http://www.philamuseum.org/images/cad/large/1929-184-16after-CX.jpg","1898-99","","","50 1/8 x 39 7/8 inches (127.3 x 101.3 cm)","","Oil on canvas","","","","American","","Thomas Eakins","Gift of Mrs. Thomas Eakins and Miss Mary Adeline Williams, 1929"
"","","","Made in United States, North and Central America","Antrim Coastline","http://www.philamuseum.org/images/cad/large/2008-124-2-pma.jpg","1901","","","20 x 30 inches (50.8 x 76.2 cm)","","Oil on canvas","","","","American","","Warren Sheppard","Gift of Marguerite and Gerry Lenfest, 2008"
"","","","Made in Philadelphia, Pennsylvania, United States, North and Central America","Bertrand Gardel (Sketch for ""The Chess Players"")","http://www.philamuseum.org/images/cad/large/1930-32-6.jpg","Sketch for the painting in the Metropolitan Museum of Art, New York (81.14)","","","","","Thomas Eakins, American, 1844 - 1916","","","","","","c. 1875","Gift of Mrs. Thomas Eakins and Miss Mary Adeline Williams, 1930"
"","","Eastman Johnson's depictions of rural life appealed to a widespread sense of nostalgia in the American post-Civil War era.","Made in United States, North and Central America","Barn Swallows","http://www.philamuseum.org/images/cad/large/1953-111-1-CX.jpg","1878","","","27 3/16 x 22 3/16 inches (69.1 x 56.4 cm)","","Oil on canvas","","","","American","","Eastman Johnson","Gift of Mrs. John Wintersteen in memory of John Wintersteen, 1953"
"","","Mrs. Frishmuth (18421926) was a passionate collector of antique musical instruments and early American artifacts, textiles, and samplers, many of which are now in the Philadelphia Museum of Art. In 1897, she gave a large part of her collection to the museum at the University of Pennsylvania (now the University Museum). Eakins very likely hoped that his grand portrait would be acquired by the university to hang with her donation. The university did accept the painting on loan, but eventually returned it to the artist after Eakins removed it repeatedly to send to other exhibitions.","Made in Philadelphia, Pennsylvania, United States, North and Central America","Antiquated Music (Portrait of Sarah Sagehorn Frishmuth)","http://www.philamuseum.org/images/cad/large/1929-184-7-CX.jpg","1900","","","97 x 72 inches (246.4 x 182.9 cm)","","Oil on canvas","","","","American","","Thomas Eakins","Gift of Mrs. Thomas Eakins and Miss Mary Adeline Williams, 1929"
"","","","Made in United States, North and Central America","Arachne","http://www.philamuseum.org/images/cad/large/1941-103-3-nyd.jpg","c. 1940","","","27 15/16 x 26 inches (71 x 66 cm)","","Tempera glazed with oil on Masonite","","","","American","","John Sloan","Gift of R. Sturgis and Marion B. F. Ingersoll, 1941"
"","","","Made in United States, North and Central America","Annette Savage and her daughters, Charlotte & Pauline","http://www.philamuseum.org/images/cad/large/1965-48-1.jpg","1823","","","66 3/8 x 50 1/4 inches (168.6 x 127.6 cm)","","Oil on canvas","","","","American","","Bass Otis","Purchased with the Edgar Viguers Seeler Fund, 1965"
"","","Suzanne Santje (1873-1947) was a Philadelphia-born actress who studied music in Berlin and drama in Paris. Eakins shows her not on stage but during a private moment in her study, dressed in a vibrant gown and surrounded by objects, including a script of the romantic drama","Made in Philadelphia, Pennsylvania, United States, North and Central America","An Actress (Portrait of Suzanne Santje)","http://www.philamuseum.org/images/cad/large/1929-184-23-sl.jpg","1903","","","79 3/4 x 59 7/8 inches (202.6 x 152.1 cm)","","Oil on canvas","","","","American","","Thomas Eakins","Gift of Mrs. Thomas Eakins and Miss Mary Adeline Williams, 1929"
"","","Best known for his stylish portraits, Sargent experimented in landscape painting throughout his career, but did so with increasing frequency after the turn of the twentieth century. Several trips to Italy and Switzerland resulted in Impressionist views of glacial streams and rocky terrain. In","Made in United States, North and Central America","A Waterfall","http://www.philamuseum.org/images/cad/large/2004-5-1.jpg","c. 1910","","","44 1/2 x 28 1/2 inches (113 x 72.4 cm)
Framed: 55 1/2 x 39 inches (141 x 99.1 cm)","","Oil on canvas","","","","American(activeLondon","","John Singer Sargent","Partial and promised gift of Charles K. Williams, II, 2004"
"","","","Made in United States, North and Central America","Adoration of the Magi, after Titian","http://www.philamuseum.org/images/cad/large/2004-8-1front-rec.jpg","c. 1811","","","Framed: 35 1/4 x 43 1/4 x 3 1/2 inches (89.5 x 109.9 x 8.9 cm)
Canvas: 28 1/2 x 36 inches (72.4 x 91.4 cm)","","Oil on canvas","","","","American","","Washington Allston","Gift of Philip and Muriel Berman, 2004"
