"artist_URI","description","object_uri","Artwork_Title","image_url","birth_date","death_date","date","dimensions_inch","medium_uri","medium","Nationality_URI","nationality","artist_appellation_uri","name","credit_line"
"E21_Person---dev#classLink","E22_Man-Made_Object---P3_has_note","E22_Man-Made_Object---dev#classLink","E35_Title---rdf-schema#label","E38_Image---dev#classLink","E52_Time-Span---P82_at_some_time_within","E52_Time-Span---P82_at_some_time_within","E52_Time-Span---P82_at_some_time_within","E54_Dimension---P3_has_note","E55_Type---dev#classLink","E55_Type---rdf-schema#label","E74_Group---dev#classLink","E74_Group---rdf-schema#label","E82_Actor_Appellation---dev#classLink","E82_Actor_Appellation---rdf-schema#label","E8_Acquisition---P3_has_note"
"","NA","","""Rebs"" in the Bullpen Brandy Station","http://emuseum.huntington.org/internal/media/dispatcher/16263/resize:format$003dfull","1828","1891","1863","7 3/8 x 8 1/2","","pen and black crayon heightened with white on brown paper","","American","","Alfred R. Waud","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","(Coastal Scene)","http://emuseum.huntington.org/internal/media/dispatcher/16147/resize:format$003dfull","1852","1944","n.d.","6 1/8 x 9 3/8","","pastel on paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","2 Oak Knoll Terrace","http://emuseum.huntington.org/internal/media/dispatcher/17966/resize:format$003dfull","NA","NA","n.d.","14 x 20","","watercolor on paper","","American","","Hunt Lewis","The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Virginia Steele Scott Foundation"
"","NA","","A Foraging Party in '76","http://emuseum.huntington.org/internal/media/dispatcher/16212/resize:format$003dfull","1821","1888","n.d.","14 1/4 x 18 1/8","","black ink and graphite on board","","American","","Felix Octavius Carr Darley","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","A Good Horse","http://emuseum.huntington.org/internal/media/dispatcher/26364/resize:format$003dfull","1872","1945","n.d.","8 3/8 x 11","","India ink on paper","","American","","Edward Borein","The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift"
"","NA","","A Large Pine Tree near the Edge of a Lake","http://emuseum.huntington.org/internal/media/dispatcher/20167/resize:format$003dfull","1846","1918","n.d.","5 3/8 x 7 3/16","","graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","A Single Yellow","http://emuseum.huntington.org/internal/media/dispatcher/30374/resize:format$003dfull","1935","NA","n.d.","14 x 17","","graphite on paper","","American","","Joe Price","The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Joe Price and M. Lee Stone Fine Prints"
"","NA","","A Street in Los Angeles, Calif., Many Years Ago","http://emuseum.huntington.org/internal/media/dispatcher/22321/resize:format$003dfull","1858","1949","n.d.","11 1/2 x 6 5/16","","graphite on paper","","American","","E. A. Burbank","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray."
"","NA","","A Tucson Street in 1895, October 22, 1901","http://emuseum.huntington.org/internal/media/dispatcher/20103/resize:format$003dfull","1846","1918","1901","4 9/16 x 6 3/4","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Abandoned Home","http://emuseum.huntington.org/internal/media/dispatcher/16123/resize:format$003dfull","1887","1945","n.d.","NA","","watercolor on paper","","American","","Rowena Fischer Meeks Abdy","The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Michael F. Williams"
"","NA","","Above Fort Stuart, Upper Missouri River","http://emuseum.huntington.org/internal/media/dispatcher/18101/resize:format$003dfull","1828","1862","1859","10 x 15 1/4","","charcoal heightened with white on brown paper","","American","","Charles Ferdinand Wimar","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Above the Mouth of Judith River","http://emuseum.huntington.org/internal/media/dispatcher/20468/resize:format$003dfull","1828","1862","n.d.","NA","","charcoal and white chalk on paper","","American","","Charles Ferdinand Wimar","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Abstract Forms","http://emuseum.huntington.org/internal/media/dispatcher/27871/resize:format$003dfull","NA","NA","1975","10 x 21 1/8","","Sumi ink on paper","","American","","Fritz Rauh","The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist"
"","NA","","Abstract Forms","http://emuseum.huntington.org/internal/media/dispatcher/27872/resize:format$003dfull","NA","NA","1973","10 1/8 x 21 1/8","","Sumi ink on paper","","American","","Fritz Rauh","The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist"
"","NA","","Abstract Forms","http://emuseum.huntington.org/internal/media/dispatcher/27873/resize:format$003dfull","NA","NA","1974","10 x 21 1/8","","Sumi ink on paper","","American","","Fritz Rauh","The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist"
"","NA","","Abstract Forms","http://emuseum.huntington.org/internal/media/dispatcher/27874/resize:format$003dfull","NA","NA","1973","10 1/4 x 21 1/4","","Sumi ink on paper","","American","","Fritz Rauh","The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist"
"","NA","","Abstract Forms","http://emuseum.huntington.org/internal/media/dispatcher/27875/resize:format$003dfull","NA","NA","1972","17 5/8 x 23 1/2","","Sumi ink on paper","","American","","Fritz Rauh","The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist"
"","NA","","Abstract Forms","http://emuseum.huntington.org/internal/media/dispatcher/27876/resize:format$003dfull","NA","NA","1973","24 1/2 x 19","","Sumi ink on paper","","American","","Fritz Rauh","The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist"
"","NA","","Abstract Forms","http://emuseum.huntington.org/internal/media/dispatcher/27877/resize:format$003dfull","NA","NA","1974","18 7/8 x 23 7/8","","Sumi ink on paper","","American","","Fritz Rauh","The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist"
"","NA","","Abstract Forms","http://emuseum.huntington.org/internal/media/dispatcher/27878/resize:format$003dfull","NA","NA","1973","19 1/2 x 25","","Sumi ink on paper","","American","","Fritz Rauh","The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist"
"","NA","","Abstract Forms","http://emuseum.huntington.org/internal/media/dispatcher/27550/resize:format$003dfull","NA","NA","1984","sheet: 14 x 16 3/4","","graphite on paper","","American","","Fritz Rauh","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Donald C. Whitton"
"","NA","","Abstraction","http://emuseum.huntington.org/internal/media/dispatcher/27879/resize:format$003dfull","NA","NA","1968","sheet: 19 7/8 x 29 3/8","","watercolor on paper","","American","","Fritz Rauh","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Robert Emory Johnson and Dana Dwyer Johnson"
"","NA","","Abstraction","http://emuseum.huntington.org/internal/media/dispatcher/27880/resize:format$003dfull","NA","NA","ca. 1969","sheet: 21 3/8 x 29","","watercolor on paper","","American","","Fritz Rauh","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Robert Emory Johnson and Dana Dwyer Johnson"
"","NA","","Abstraction","http://emuseum.huntington.org/internal/media/dispatcher/27881/resize:format$003dfull","NA","NA","1972","sheet: 22 3/8 x 29 3/4","","watercolor on paper","","American","","Fritz Rauh","The Huntington Library, Art Collections, and Botanical Gardens. Gift of the artist"
"","NA","","Abstraction","http://emuseum.huntington.org/internal/media/dispatcher/27882/resize:format$003dfull","NA","NA","1975","sheet: 22 1/4 x 29 1/2","","watercolor on paper","","American","","Fritz Rauh","The Huntington Library, Art Collections, and Botanical Gardens. Gift of the artist"
"","NA","","Abstraction","http://emuseum.huntington.org/internal/media/dispatcher/27883/resize:format$003dfull","NA","NA","2006","sheet: 22 3/8 x 30 1/4","","watercolor on paper","","American","","Fritz Rauh","The Huntington Library, Art Collections, and Botanical Gardens. Gift of the artist"
"","NA","","Abstraction","http://emuseum.huntington.org/internal/media/dispatcher/27884/resize:format$003dfull","NA","NA","2006","sheet: 22 1/4 x 30","","watercolor on paper","","American","","Fritz Rauh","The Huntington Library, Art Collections, and Botanical Gardens. Gift of the artist"
"","NA","","Acquaduct in Queretaro","http://emuseum.huntington.org/internal/media/dispatcher/27909/resize:format$003dfull","1860","1935","n.d.","14 5/16 x 9 5/8","","watercolor on paper","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","Adirondack","http://emuseum.huntington.org/internal/media/dispatcher/20461/resize:format$003dfull","1829","1904","n.d.","12 7/8 x 19 1/2","","graphite on paper","","Dutch","","Hendrik Dirk Kruseman van Elten","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Adlai Stevenson Addresses the United Nations","http://emuseum.huntington.org/internal/media/dispatcher/31096/resize:format$003dfull","1908","1978","ca. 1955","sheet: 9 1/2 x 7 3/4","","ink and litho crayon on paper","","American","","Don Freeman","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Agriculture and Industry","http://emuseum.huntington.org/internal/media/dispatcher/16254/resize:format$003dfull","1820","1903","n.d.","10 3/8 x 16 5/8","","ink wash and graphite en grisaille on paper","","American","","James MacDonough","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
