,column_name,el_dist,jc_name,jc_num,jc_text,ks_num,mw_hist,semantic_type,target,test_name,tf_text,truth,prob
30,s02-dma!Object Latest Date,0.0239078037724,0.277777777778,0.756862745098,0,0.00701629149534,0.0883088572957,E52_Time-Span---P82b_end_of_the_end,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.940114091646
41,s05-met!Date,0.0241545599583,0.5,0.470071126029,0,5.96641945567e-06,2.38876114488e-05,E52_Time-Span---P82_at_some_time_within,True,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.926008830578
12,s02-dma!Artist Death Date,0.0256612197242,0.277777777778,0.701886792453,0,0.678477826024,0.00168871564563,E52_Time-Span---P82_at_some_time_within,True,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.920159386112
27,s02-dma!Object Earliest Date,0.0252438265723,0.227272727273,0.756862745098,0,0.00426042625479,0.00123691753718,E52_Time-Span---P82a_begin_of_the_begin,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.9023759348
45,s02-dma!Artist Birth Date,0.0277648826043,0.263157894737,0.650190114068,0,2.57163172346e-07,0.000677786085642,E52_Time-Span---P82_at_some_time_within,True,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.881812048903
62,s11-s-19-artists!nationality,0.0,0.0588235294118,0.0,0,0.0,0.926547173868,E74_Group---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.828231702891
10,s06-npg!AquisitionDate,0.0214114007596,0.222222222222,0.456902402606,0,1.08476019317e-11,7.33978130953e-21,E52_Time-Span---P82_at_some_time_within,True,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.749851398368
25,s06-npg!Medium,0.0,0.0,0.0,0,0.0,0.830962770233,E55_Type---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.726246875308
6,s02-dma!Object Title,0.0839315328496,0.0526315789474,0.0,0,0.00110158245713,0.445470956232,E35_Title---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.501828675351
51,s04-ima-artworks!creationDate,0.0171295180896,0.266666666667,0.0895675760746,0,9.42856313143e-05,7.75284897008e-30,E52_Time-Span---P82_at_some_time_within,True,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.494165596203
28,s12-s-19-artworks!date_made,0.0831636264088,0.214285714286,0.103078904522,0,5.56911824293e-08,1.80245310333e-36,E52_Time-Span---P82_at_some_time_within,True,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.441667052548
13,s02-dma!dimensions,0.594839455938,0.0,0.0,0,1.90792020665e-22,0.445470956232,E54_Dimension---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.436689044242
9,s06-npg!DateOfWork,0.0234181683589,0.2,0.111068915812,0,0.00615553335897,1.5280570604e-21,E52_Time-Span---P82_at_some_time_within,True,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.431757890142
37,s07-s-13!dates,0.114211604339,0.181818181818,0.0933359735023,0,0.0437260786669,4.06422734042e-24,E52_Time-Span---P82_at_some_time_within,True,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.396409939471
33,s05-met!Credit Line,0.0157753670285,0.0555555555556,0.262626262626,0,0.014284220483,4.78617669178e-05,E8_Acquisition---P3_has_note,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.392496672223
34,s02-dma!Artist Name,0.0,0.0555555555556,0.0,0,0.0,0.220715393713,E82_Actor_Appellation---rdf-schema#label,False,s01-cb!End Date,0,E52_Time-Span---P82_at_some_time_within,0.332762064898
