,column_name,el_dist,jc_name,jc_num,jc_text,ks_num,mw_hist,semantic_type,target,test_name,tf_text,truth
0,WM 2014 Alle Spieler - players fifa!Country,0.0,0.0,0.0,0.0,0.0,6.52285222524e-39,SportsTeam---name,False,world_cup_2014_squads!Club,0.00118638555028,SportsClub---name
1,WM 2014 Alle Spieler - players fifa!Caps,0.0413477986183,0.0,0.00364180892483,0.0,2.30279772749e-07,8.3320294633e-13,Player---numberOfPlayedGames,False,world_cup_2014_squads!Club,0.0,SportsClub---name
2,WM 2014 Alle Spieler - players fifa!Number,0.0448907494162,0.0,0.00052710392333,0.0,3.53383994462e-05,2.67053146873e-40,Player---tag,False,world_cup_2014_squads!Club,0.0,SportsClub---name
3,WM 2014 Alle Spieler - players fifa!International goals,0.043069238626,0.0,0.00160443014293,0.0,0.00029577792718,7.5890640741e-29,Player---goalScored,False,world_cup_2014_squads!Club,0.0,SportsClub---name
4,WM 2014 Alle Spieler - players fifa!D.O.B,0.0261191192971,0.0,0.0,0.0,7.03373633408e-13,1.34446915993e-28,Player---birthDate,False,world_cup_2014_squads!Club,0.0,SportsClub---name
5,WM 2014 Alle Spieler - players fifa!Club,0.0157513491281,1.0,0.0283736825479,0.108043476177,0.0194206262004,0.281749599896,SportsClub---name,True,world_cup_2014_squads!Club,1.45426070881,SportsClub---name
6,WM 2014 Alle Spieler - players fifa!Player,0.0,0.0,0.0,0.0,0.0,2.25714445159e-31,Player---name,False,world_cup_2014_squads!Club,0.00263604121747,SportsClub---name
7,WM 2014 Alle Spieler - players fifa!Position,0.0,0.0,0.0,0.0,0.0,1.3152546056e-46,Player---playPosition,False,world_cup_2014_squads!Club,0.0,SportsClub---name
8,WM 2014 Alle Spieler - players fifa!Height (cm),0.0353186999528,0.0,0.00100628930818,0.0,5.18843578593e-08,1.29556323594e-33,Player---height,False,world_cup_2014_squads!Club,0.0,SportsClub---name
9,WM 2014 Alle Spieler - players fifa!Club (country),0.0,0.2,0.0,0.0,0.0,2.85805463813e-30,League---name,False,world_cup_2014_squads!Club,0.0044429906661,SportsClub---name
10,WM 2014 Alle Spieler - players fifa!Age,0.0437085178909,0.0,0.000598981731057,0.0,5.18843578593e-08,2.39514067046e-39,Player---age,False,world_cup_2014_squads!Club,0.0,SportsClub---name
11,WM 2014 Alle Spieler - players fifa!Country,0.0,0.636363636364,0.0,0.0405405405405,0.0,1.27880476486e-20,SportsTeam---name,False,world_cup_2014_squads!ClubCountry,0.0145792355376,League---name
12,WM 2014 Alle Spieler - players fifa!Caps,0.0,0.0,0.0,0.0,0.0,3.09215459801e-16,Player---numberOfPlayedGames,False,world_cup_2014_squads!ClubCountry,0.0,League---name
13,WM 2014 Alle Spieler - players fifa!Number,0.0,0.0,0.0,0.0,0.0,2.47278154561e-25,Player---tag,False,world_cup_2014_squads!ClubCountry,0.0,League---name
14,WM 2014 Alle Spieler - players fifa!International goals,0.0,0.037037037037,0.0,0.0,0.0,0.826833002268,Player---goalScored,False,world_cup_2014_squads!ClubCountry,0.0,League---name
15,WM 2014 Alle Spieler - players fifa!D.O.B,0.0,0.0,0.0,0.0,0.0,2.17229626245e-49,Player---birthDate,False,world_cup_2014_squads!ClubCountry,0.0,League---name
16,WM 2014 Alle Spieler - players fifa!Club,0.0,0.25,0.0,0.0,0.0,1.07065638166e-30,SportsClub---name,False,world_cup_2014_squads!ClubCountry,0.00084580840357,League---name
17,WM 2014 Alle Spieler - players fifa!Player,0.0,0.0,0.0,0.0,0.0,1.6214433282e-50,Player---name,False,world_cup_2014_squads!ClubCountry,0.0,League---name
18,WM 2014 Alle Spieler - players fifa!Position,0.0,0.0,0.0,0.0,0.0,9.02523957177e-36,Player---playPosition,False,world_cup_2014_squads!ClubCountry,0.0,League---name
19,WM 2014 Alle Spieler - players fifa!Height (cm),0.0,0.0,0.0,0.0,0.0,1.60853399489e-10,Player---height,False,world_cup_2014_squads!ClubCountry,0.0,League---name
20,WM 2014 Alle Spieler - players fifa!Club (country),0.0,0.470588235294,0.0,0.0361445783133,0.0,0.000585654526122,League---name,True,world_cup_2014_squads!ClubCountry,0.00825506969144,League---name
21,WM 2014 Alle Spieler - players fifa!Age,0.0,0.0,0.0,0.0,0.0,7.0468747491e-24,Player---age,False,world_cup_2014_squads!ClubCountry,0.0,League---name
22,WM 2014 Alle Spieler - players fifa!Country,0.0,0.0,0.0,0.0,0.0,8.45275623299e-07,SportsTeam---name,False,world_cup_2014_squads!Number,0.0,Player---tag
23,WM 2014 Alle Spieler - players fifa!Caps,0.662519729976,0.0,0.144736842105,0.0,1.19301040402e-101,5.51299430094e-33,Player---numberOfPlayedGames,False,world_cup_2014_squads!Number,0.0,Player---tag
24,WM 2014 Alle Spieler - players fifa!Number,0.336229781884,1.0,1.0,0.0,0.81200493718,0.111993381072,Player---tag,True,world_cup_2014_squads!Number,0.0,Player---tag
25,WM 2014 Alle Spieler - players fifa!International goals,0.513027686738,0.0454545454545,0.323529411765,0.0,3.03632776794e-48,2.21118322292e-27,Player---goalScored,False,world_cup_2014_squads!Number,0.0,Player---tag
26,WM 2014 Alle Spieler - players fifa!D.O.B,0.658157243207,0.0,0.0,0.0,1.09384928197e-221,1.19384637111e-56,Player---birthDate,False,world_cup_2014_squads!Number,0.0,Player---tag
27,WM 2014 Alle Spieler - players fifa!Club,0.069075026409,0.0,0.000817186727167,0.0,4.23726948075e-07,4.50078725115e-44,SportsClub---name,False,world_cup_2014_squads!Number,0.0,Player---tag
28,WM 2014 Alle Spieler - players fifa!Player,0.0,0.2,0.0,0.0,0.0,2.26665478443e-57,Player---name,False,world_cup_2014_squads!Number,0.0,Player---tag
29,WM 2014 Alle Spieler - players fifa!Position,0.0,0.0,0.0,0.0,0.0,5.29021696503e-24,Player---playPosition,False,world_cup_2014_squads!Number,0.0,Player---tag
30,WM 2014 Alle Spieler - players fifa!Height (cm),0.869409239968,0.0,0.0,0.0,1.64077392296e-221,5.28355116022e-24,Player---height,False,world_cup_2014_squads!Number,0.0,Player---tag
31,WM 2014 Alle Spieler - players fifa!Club (country),0.0,0.0,0.0,0.0,0.0,1.10151550234e-26,League---name,False,world_cup_2014_squads!Number,0.0,Player---tag
32,WM 2014 Alle Spieler - players fifa!Age,0.424183525865,0.0,0.119047619048,0.0,7.53732416095e-175,0.000542765572363,Player---age,False,world_cup_2014_squads!Number,0.0,Player---tag
33,WM 2014 Alle Spieler - players fifa!Country,0.0,0.0,0.0,0.0,0.0,5.21401611639e-53,SportsTeam---name,False,world_cup_2014_squads!DateOfBirth,0.0,Player---birthDate
34,WM 2014 Alle Spieler - players fifa!Caps,0.635194485155,0.0,0.0,0.0,1.09384928197e-221,3.57567263701e-38,Player---numberOfPlayedGames,False,world_cup_2014_squads!DateOfBirth,0.0,Player---birthDate
35,WM 2014 Alle Spieler - players fifa!Number,0.658216013162,0.0,0.0,0.0,1.09384928197e-221,2.94445016725e-52,Player---tag,False,world_cup_2014_squads!DateOfBirth,0.0,Player---birthDate
36,WM 2014 Alle Spieler - players fifa!International goals,0.660592736155,0.0769230769231,0.0,0.0,1.09384928197e-221,3.32955436972e-47,Player---goalScored,False,world_cup_2014_squads!DateOfBirth,0.0,Player---birthDate
37,WM 2014 Alle Spieler - players fifa!D.O.B,0.000696292512657,0.0,0.5,0.0,0.00415212520302,0.0985148160805,Player---birthDate,True,world_cup_2014_squads!DateOfBirth,0.0,Player---birthDate
38,WM 2014 Alle Spieler - players fifa!Club,0.0451612788838,0.0,0.0,0.0,1.35691438618e-18,8.2531787667e-23,SportsClub---name,False,world_cup_2014_squads!DateOfBirth,0.00927407524134,Player---birthDate
39,WM 2014 Alle Spieler - players fifa!Player,0.0,0.0,0.0,0.0,0.0,0.00565109283278,Player---name,False,world_cup_2014_squads!DateOfBirth,0.0,Player---birthDate
40,WM 2014 Alle Spieler - players fifa!Position,0.0,0.0,0.0,0.0,0.0,6.47925834796e-55,Player---playPosition,False,world_cup_2014_squads!DateOfBirth,0.0,Player---birthDate
41,WM 2014 Alle Spieler - players fifa!Height (cm),0.555474168332,0.0,0.0,0.0,1.09384928197e-221,3.99287245502e-50,Player---height,False,world_cup_2014_squads!DateOfBirth,0.0,Player---birthDate
42,WM 2014 Alle Spieler - players fifa!Club (country),0.0,0.0,0.0,0.0,0.0,1.03977268063e-47,League---name,False,world_cup_2014_squads!DateOfBirth,0.0,Player---birthDate
