    "0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51"
"dbpedia-owl:areaTotal","dbpedia-owl:populationDensity","dbpedia-owl:areaLand","dbpedia-owl:areaWater","dbpedia-owl:percentageOfAreaWater","dbpedia-owl:populationMetro","dbpedia-owl:populationTotal","dbpprop:aprHighF","dbpprop:aprLowF","dbpprop:aprMeanF","dbpprop:aprRainDays","dbpprop:aprRainInch","dbpprop:areaLandKm","dbpprop:areaLandSqMi","dbpprop:areaTotalKm","dbpprop:areaTotalSqMi","dbpprop:areaWaterKm","dbpprop:areaWaterSqMi","dbpprop:augHighF","dbpprop:augLowF","dbpprop:augMeanF","dbpprop:augRainDays","dbpprop:augRainInch","dbpprop:decHighF","dbpprop:decLowF","dbpprop:decMeanF","dbpprop:decRainDays","dbpprop:decRainInch","dbpedia-owl:elevationFt","dbpedia-owl:elevationM","dbpedia-owl:foundingDate","dbpedia-owl:leaderTitle","dbpedia-owl:country","dbpedia-owl:governingBody","dbpedia-owl:governmentType","dbpedia-owl:postalCode","dbpedia-owl:utcOffset","dbpprop:coordinatesRegion","dbpprop:establishedTitle","dbpprop:location","dbpprop:name","dbpprop:officialName","dbpprop:subdivisionName","dbpprop:title","dbpprop:populationDemonym","dbpprop:timezone","foaf:nick","dbpprop:motto","dbpprop:website","dbpprop:flower","dbpedia-owl:areaCode","grs:point"
"1.19E7","164.9042319135","5827473.248256","0.0","73.2900009155","121596.0","365.0","86.0","36.7","48.0","13.5","0.39","5.15","16.3","34.7","1.63","0.0","0.2","80.1","77.0","76.8","16.0","0.05","50.1","17.6","23.0","8.9","3.43","1027.0","333.0","2007-05-28","Mayor","United_States","Bharatiya_Janata_Party","Council%E2%80%93manager_government","40146","-5","US-KS","Founded as","Naga City","Rio Rancho, New Mexico","Murchison, Texas","Dehloran_County","Places in Louisville Metro","Taribero","Central_European_Time","M-Town","""""""Fortiter Defendit Triumphans"""" """"Triumphing by brave defence""""""","http://www.bellegladegov.com/","Cherry_bloom","497278","60.693333333333335 -161.9736111111111"
"2.489E7","204.2","7600000.0","0.0","1.6299999952","170705.0","14698.0","59.9","52.0","57.7","6.0","2.56","19.14","9.1","11.65","0.98","0.0","0.06","80.8","66.0","66.0","16.2","0.25","68.0","30.9","37.1","8.2","7.22","1273.0","396.0","1887-08-07","Mayor","Hungary","Minneapolis_City_Council","City_status_in_the_United_Kingdom","43351","-6","US-Ca","Incorporated","White Rock","Guatemala","St. Louis, Michigan","United_States","Religions in Balrampur","Nogalense","UTC -3","(Spring City of the Northern Country)","Coca-Cola Capital of Iowa","http://bayport.govoffice.com/","Lilium_japonicum","641","36.82805555555556 -83.41444444444444"
"8.99E7","127.7225940458","780000.0","900000.0","2.25","661375.0","785.0","58.0","34.7","45.0","9.8","3.92","3.0","127.09","0.7","4.67","0.0","0.04","97.2","61.0","71.0","19.04","3.4","45.0","34.0","37.1","6.0","11.67","988.0","291.0","1953-03-23","Mayor","Thailand","620","Mayor%E2%80%93council_government","63957","-5","US-TX","Incorporated","Townsville airport, australia","Rokikis","Sturgeon Bay, Wisconsin","Wisconsin","Religions in Washim","Manileo  / Manilea , Manilan","Central_European_Time","""""""Shrimp Capital of the World"""" """"The Wick Town""""""","""""""Discover the Difference""""""","http://www.svalyava.org/","Lilium_speciosum","620","-25.283333333333335 -57.71666666666667"
"3.343E7","744.366351454","1.204E7","0.0","0.0399999991","98461.0","251.0","71.7","48.0","45.9","3.2","0.88","90.954","2.4","105.0","0.15","0.0","0.02","74.0","51.4","78.6","11.0","0.34","33.0","17.0","50.8","0.15","2.7","518.0","624.0","1881-11-19","Mayor","United_States","ahmedabad_Municipal_Corporation","Mayor%E2%80%93council_government","67864","-5","US-ND","Municipal_corporation","Fuyang","Ranebennuru","augusta","United_States","Nearest Towns and Cities connected to Malappuram","Batanguea","Central_Time_Zone_(North_america)","Gateway to the Gold Fields",", Make Big Plans , I Will","http://ayuntamientodealvarado.gob.mx","Rhododendron","873","38.12305555555555 -99.7125"
"3.09244580374118E7","289.5766189068","517997.6220672","800000.0","0.0","516826.0","11530.0","72.0","58.0","39.7","6.4","","0.1","3.1","68.1","7.8","0.03","0.22","89.0","66.0","67.9","1.8","","34.0","14.2","53.0","3.6","","135.0","634.0","1851-02-08","State aemblyman","India","Thriur_Municipal_Corporation","Council%E2%80%93manager_government","78654","-5","US-NY","Parish church","Tempe, arizona","Los angeles","Pacific, Washington","United_States","City of Merriam","Castreo","Central_Time_Zone_(North_america)","Hub of the Nation","Live and Work","http://www.vestaviahills.org/","Hibiscus","218","44.2 87.55"
"7900000.0","135.3","7500000.0","0.0","0.0","619000.0","20883.0","67.6","30.0","60.8","16.0","","8.65","0.14","0.73","1.61","0.0","0.0","93.8","70.1","65.2","8.7","","68.8","37.3","31.0","0.5","","1140.0","82.6008","1903-06-06","Mayor","Iran","Vellore_Municipal_Corporation","Mayor%E2%80%93council_government","52701","-7","IR","Founded","Vlor","Rajur","Morrow, Georgia","arkansas","articles Related to Lamitan","Waukeganite","Myanmar_Standard_Time","Twin Cities (see also Dennison, Ohio), Clay Capital of the World","Grounded in history, growing for the future.","http://www.rockvillemd.gov/","azalea","912","31.333333333333332 104.2"
"1864791.43944192","244.5","1398593.57958144","0.0","0.2700000107","1025682.0","23977.0","57.3","46.0","44.4","4.3","","152.29","2.5","1.5","3.36","0.0","0.02","85.5","76.2","74.0","14.2","","36.0","20.0","34.0","1.0","","1115.0","853.4","1907-05-22","Mayor","Canada","","Council%E2%80%93manager_government","791118","0.1875","US-aR","Incorporated","Gorakhpur","Bougouni","Monango, North Dakota","Georgia_(U.S._state)","articles Related to Ormoc","Sintrense","Indian_Standard_Time","Hummingbird Capital of the United States","""""""Growing Our Future""""""","http://www.cityoflancasterca.org","?????","906","37.894736 127.200172"
"3.731E7","985.5","9142658.02948608","155399.28662016","1.8999999762","382630.0","12867.0","65.5","42.0","43.0","2.3","","2.411","7.0","64.0","17.32","0.1","0.0","81.0","56.8","85.4","5.0","","60.0","20.8","17.8","5.0","","1355.0","170.0784","1895-03-15","City Council","China","","List_of_cities_and_towns_in_Colorado","65051","0.145833333333333","US-MN","Incorporated","Jinju","Mairang","???  Yamaguchi City","United_States","articles Related to Digos","Ferndaler,","Greenwich_Mean_Time","city between the canyons","""""""...the hub of the Thumb""""""","www.dcbeweb.com","Cherry_bloom","450 and 579","38.090555555555554 -94.58444444444444"
"1.31599885874282E8","341.0440366405","2330989.2993024","1518000.0","0.1000000015","561505.0","2431.0","74.0","21.2","42.0","10.4","","22.66","16.79","262.41","0.77","0.0","0.0","86.8","54.0","66.4","0.0","","83.7","64.0","31.0","6.8","","896.0","185.928","es""","Vice Mayor","United_States","","Council%E2%80%93manager_government","81000","-7","US-IN","Incorporated","Wasilla, alaska","Nowra","Gulf Breeze, Florida","Travis_County,_Texas","Reports from the consuls of the United States, Iues 124-127","Demonym","Central_Time_Zone_(North_america)","Khelang Nakhon","""""""Home Of """"The Pumpkin Show""""""","http://www.wuxi.gov.cn/","Olive","961","39.653888888888886 -85.13777777777777"
