"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51"
"dbpedia-owl:areaTotal","dbpedia-owl:populationDensity","dbpedia-owl:areaLand","dbpedia-owl:areaWater","dbpedia-owl:percentageOfAreaWater","dbpedia-owl:populationMetro","dbpedia-owl:populationTotal","dbpprop:aprHighF","dbpprop:aprLowF","dbpprop:aprMeanF","dbpprop:aprRainDays","dbpprop:aprRainInch","dbpprop:areaLandKm","dbpprop:areaLandSqMi","dbpprop:areaTotalKm","dbpprop:areaTotalSqMi","dbpprop:areaWaterKm","dbpprop:areaWaterSqMi","dbpprop:augHighF","dbpprop:augLowF","dbpprop:augMeanF","dbpprop:augRainDays","dbpprop:augRainInch","dbpprop:decHighF","dbpprop:decLowF","dbpprop:decMeanF","dbpprop:decRainDays","dbpprop:decRainInch","dbpedia-owl:elevationFt","dbpedia-owl:elevationM","dbpedia-owl:foundingDate","dbpedia-owl:leaderTitle","dbpedia-owl:country","dbpedia-owl:governingBody","dbpedia-owl:governmentType","dbpedia-owl:postalCode","dbpedia-owl:utcOffset","dbpprop:coordinatesRegion","dbpprop:establishedTitle","dbpprop:location","dbpprop:name","dbpprop:officialName","dbpprop:subdivisionName","dbpprop:title","dbpprop:populationDemonym","dbpprop:timezone","foaf:nick","dbpprop:motto","dbpprop:website","dbpprop:flower","dbpedia-owl:areaCode","grs:point"
"880000.0","60.0","1553992.8662016","569797.38427392","13.7299995422","3269814.0","139.0","53.1","39.4","49.0","5.9","3.6","11.81","0.58","2.82","35.96","0.16","0.0","81.0","52.5","73.6","13.8","6.11","45.0","13.2","23.4","0.67","1.76","715.0","167.0","1921-11-21","Mayor","India","Pimpri-Chinchwad_Municipal_Corporation","Faulkner_act_(Council-Manager)","66093","-8","IR","annexed","Lehi, Utah","Pinjore","Nickerson, Kansas","Texas","articles Related to Cadiz, Negros Occidental","Santiaguero/a","West_africa_Time","Lazaro Cardenas el Puerto de Todos","The Good Neighbor City","http://www.richmond.ky.us","Chrysanthemum","507","38.365833333333335 -75.59333333333333"
"3.527E9","296.0245249545","2.87E7","802896.31420416","0.0099999998","358676.0","146.0","62.0","33.6","54.2","0.0","3.49","1.37","0.62","4.45","2.15","0.0","0.0","95.0","42.9","67.6","10.9","0.12","46.0","60.0","39.9","5.0","0.91","200.0","272.796","1752-03-02","Mayor","United_States","Gaborone_City_Council","Mayor%E2%80%93council_government","756045","-6","NG","Municipal_corporation","Corner Brook","Seika","Khalil Shahr","Dillingham_Census_area,_alaska","Beaches of New Jersey","airdrite; airdronian","Iran_Standard_Time","City of Pines","""""""One City, One Future""""""","http://www.cityofbucyrusoh.us/","Sunflower","336","30.675007 -97.587862"
"410000.0","608.5","4661978.5986048","3.753E7","12.3500003815","118830.0","86.0","66.8","47.3","47.0","11.0","4.0","2.54","0.98","8.5","0.5","0.65","0.5","82.0","62.0","72.2","22.5","0.74","32.0","41.0","24.1","5.6","24.15","1030.0","18.8976","1865-03-01","Fire Chief","United_States","Surendranagar-Dudhrej","Council%E2%80%93manager_government","76208, 76210","0.229166666666667","US-CO","Settled","Sandpoint, Idaho","Shirakawa","Khanuk","Warren_County,_Kentucky","Religions in Darbhanga","Demonym","Central_Time_Zone_(North_america)","Groundhog Capital of the World","""""""The Swamp Fox City""""""","http://www.BeloitKS.org","azalea","870","41.446724 -94.76544"
"4.237E7","491.3149967453","6708069.20577024","30000.0","51.6800003052","1858464.0","1505.0","56.6","53.0","49.2","3.0","15.42","23.5","0.7","0.4","6.9","0.0","1.71","94.9","71.0","65.5","19.0","3.36","48.0","17.2","32.6","6.0","2.6","26.0","100.8888","1963-09-24","Dekalb County CEO","India","Hisar_(district)","Council%E2%80%93manager_government","97907","-5","US-Ia","Founded","Woodbury","Galvez","City of Miller, South Dakota","United_States","Places in Louisville Metro","Villafranqueos","Eastern_Time_Zone","Grad na Dravi (City on Drava)","""""""a Capital Opportunity""""""","http://www.city.belleville.on.ca/","Wasabi","+54 3543","37.295 -87.12861111111111"
"850000.0","136.9","1.72E7","100000.0","4.2699999809","1041972.0","24133.0","67.7","39.1","50.0","8.0","","88.32","3.94","17.3","1.16","0.03","0.0","90.0","61.0","74.6","12.2","","48.0","12.5","48.0","23.0","","600.0","66.0","2002-10-08","Governing body","India","San_Diego_City_Council","Council%E2%80%93manager_government","55304","-5","US-WV","Plat","Zaporizhya","Lubbock, Texas","Barney, North Dakota","Nanur_District","Religions in Jaunpur","Trojan","Central_Time_Zone_(North_america)","City of Lakes","""""""Purple Martin Capital of Oklahoma""""""","http://www.Moundridge.com","Daylily","760","38.64388888888889 -83.77583333333334"
"3420000.0","473.1","1.53327296131891E7","80000.0","2.4300000668","1018295.0","33557.0","55.0","49.0","49.2","9.3","","83.0","2.5","8.851","7.7","0.03","0.0","90.0","55.5","63.0","17.9","","32.7","20.5","9.0","0.7","","902.0","119.0","1995-03-14","Mayor","United_States","Kandy_Municipal_Council","List_of_cities_and_towns_in_Colorado","72461","-7","IR","First mentioned","Kumamoto, Kumamoto","Corpus Christi, Texas","Hasanabad","Kansas","articles Related to Navotas","aguachiquense","West_africa_Time","Primer Puerto Maritimo del Ecuador","""""""The Friendly City """"""","http://urbanaohio.com/","azalea","1567","31.302222222222223 -85.71083333333333"
"8028963.1420416","554.9","1550000.0","362598.33544704","4.4899997711","1400685.0","5900.0","61.6","12.4","49.7","10.8","","2.02","1.9","145.3","7.81","0.0","1.571","80.0","55.0","64.4","10.9","","47.9","23.0","23.3","6.9","","2569.0","242.0112","1954-08-14","Lord Mayor","United_States","","Mayor%E2%80%93council_government","41773","-6","US-KY","Municipality since","Merced_Regional_airport","amlai","Dryden","Ober%C3%a1_Department","Chinatown, Flushing","Chilango","Eastern_Time_Zone","L V, Bear Country","''Urbs antiqua Fuit","http://www.bagleymn.us/","Cherry_bloom","870","32.483333333333334 44.43333333333333"
"3.26E7","532.3","854696.07641088","750000.0","75.7200012207","1899740.0","2087.0","59.9","44.0","39.8","10.9","","0.54","0.4","455.4","1.1","0.0","22.412","77.0","57.0","79.0","18.2","","39.4","53.0","35.0","3.7","","4803.0","608.0","1883-09-15","Mayor","India","","Mayor%E2%80%93council_government","44122, 44124","0.145833333333333","US-MI","Incorporated","Pyongyang","Yeosu","Johnson, Minnesota","United_States","Village Talati","olivico , olivica","Central_Time_Zone_(North_america)","Bird Dog Field Trial Capital of the World","Faith, Fidelity and Progre","http://www.cityofmonongahela-pa.gov","azalea","573","32.28055555555556 -96.17277777777778"
"4744858.21813555","8.5","6710000.0","4143980.9765376","0.0","1290170.0","75055.0","45.0","39.4","80.0","15.0","","14.3","0.19","580.7","15.828","0.0","0.0","75.6","50.1","67.3","19.2","","43.0","36.0","56.5","9.0","","1975.0","348.0","1889-06-07","Mayor","United_States","","City_Commiion","77464","-6","ES","Municipal_corporation","Brisbane_central_busine_district","Griffith","City of Hardeeville","Shaanxi","Chiayi City","Flagstonian or Flagstaffian","Indian_Standard_Time","The City of Electricity","""""""The Town with the Beautiful Lake""""""","http://www.stgeorgealaska.com/index.asp","azalea","(+593) 3","37.03611111111111 -99.98777777777778"
