"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51"
"dbpedia-owl:areaTotal","dbpedia-owl:populationDensity","dbpedia-owl:areaLand","dbpedia-owl:areaWater","dbpedia-owl:percentageOfAreaWater","dbpedia-owl:populationMetro","dbpedia-owl:populationTotal","dbpprop:aprHighF","dbpprop:aprLowF","dbpprop:aprMeanF","dbpprop:aprRainDays","dbpprop:aprRainInch","dbpprop:areaLandKm","dbpprop:areaLandSqMi","dbpprop:areaTotalKm","dbpprop:areaTotalSqMi","dbpprop:areaWaterKm","dbpprop:areaWaterSqMi","dbpprop:augHighF","dbpprop:augLowF","dbpprop:augMeanF","dbpprop:augRainDays","dbpprop:augRainInch","dbpprop:decHighF","dbpprop:decLowF","dbpprop:decMeanF","dbpprop:decRainDays","dbpprop:decRainInch","dbpedia-owl:elevationFt","dbpedia-owl:elevationM","dbpedia-owl:foundingDate","dbpedia-owl:leaderTitle","dbpedia-owl:country","dbpedia-owl:governingBody","dbpedia-owl:governmentType","dbpedia-owl:postalCode","dbpedia-owl:utcOffset","dbpprop:coordinatesRegion","dbpprop:establishedTitle","dbpprop:location","dbpprop:name","dbpprop:officialName","dbpprop:subdivisionName","dbpprop:title","dbpprop:populationDemonym","dbpprop:timezone","foaf:nick","dbpprop:motto","dbpprop:website","dbpprop:flower","dbpedia-owl:areaCode","grs:point"
"6710000.0","420.2","3340000.0","362598.33544704","0.5799999833","765706.0","387.0","79.0","44.2","42.0","14.6","2.05","1.61","5.05","31.7","4.1","2.1","0.29","82.5","58.2","70.5","3.6","0.12","70.0","29.3","26.0","3.1","2.01","141.0","359.0","1991-04-05","Senate","North_Korea","Thiruvananthapuram_Corporation","Council%E2%80%93manager_government","236800","-6","IR","Founded","Choibalsan","Morteros","Dunlap, Kansas","Dallas_County,_Iowa","articles Related to Catbalogan","concordiense","Indian_Standard_Time","Punchi Romaya (Little Rome),  Meepura","""""""a Great Place to Call Home""""""","http://www.niagarafalls.ca/","Sunflower","450 and 579","47.916666666666664 33.25"
"5516674.67501568","266.1788280992","3030286.08909312","0.0","1.3999999762","7108647.0","283.0","77.9","57.4","49.8","4.4","3.3","1.61","2.33","5.0","5.77","0.0","0.0","84.9","76.0","79.0","10.0","0.03","54.0","-0.8","13.0","3.6","3.31","594.0","997.0","1871-10-30","*European Parliament","Mexico","605","Mayor%E2%80%93council_government","S2607","-6","Ca-QC","Settled","Winner, South Dakota","Nemili","Castro","Wayne_County,_Iowa","Religions in Leh","Wichitan","Pacific_Time_Zone","Ski Town USa, Bike Town USa","Restoring the Pride.","http://dilloncitysc.com/","Henderson allamanda","509","38.733333333333334 35.483333333333334"
"2.339E7","105.8306016565","3.69E7","1035995.2441344","44.5999984741","234906.0","1460.0","60.7","30.0","50.1","11.0","9.62","0.23","159.29","194.67","1.03","0.1","0.0","89.0","63.1","67.0","18.5","7.13","45.9","24.3","26.6","0.6","1.84","5480.0","481.8888","1936-07-06","MLas","United_States","Gram_Panchyat","City_(New_Jersey)","(Other areas)","-6","BR","Settled","Howrah","ahmedabad","Neligh, Nebraska","United_States","Destinations from Oxford","cipoleo","Time_in_China","""""""Resort City""""""","""""""a treasure in time...on track for tomorrow""""""","http://skyways.lib.ks.us/kansas/towns/Glasco/","Hydrangea","641","40.45 124.06666666666666"
"3625983.3544704","309.3","336698.45434368","0.0","1.75","1779960.0","5366.0","54.7","34.7","41.0","4.6","0.22","2.6","0.89","4.97","3.502","0.0","0.0","96.0","60.3","89.0","13.5","0.06","33.1","71.0","31.0","13.0","2.56","883.0","587.0448","1878-02-18","Mayor","argentina","akola_Municipal_Corporation","Mayor%E2%80%93council_government","160900-160904","-7","PH","Established","Livingston, MT","azhikode South","City of Spokane","Santiago_del_Estero_Province","Beaches of New Jersey","Lompocan","Central_Time_Zone_(North_america)","Peanut Capital of the World","""""""Two Square Miles Of Tranquility""""""","http://www.somersworth.com/","azalea","+380 4499","17.95 -77.25"
"2.08753041693081E7","112.5","9300000.0","0.0","13.1400003433","5700256.0","143.0","57.0","50.0","61.3","15.7","","4.28","3.02","3.8","13.464","0.0","0.1","87.0","70.0","77.0","14.9","","50.6","28.4","46.2","7.7","","338.0","20.1168","1834-02-24","Crisfield City Council","United_States","Tirunelveli_Municipal_Corporation","Council%E2%80%93manager_government","44481-44488","9","CZ","Settled","Elkhart, Kansas","Kalanwali,Haryana","???  Hirakata","Kansas","Religions in aurangabad","Dolorense","Central_Time_Zone_(North_america)","""""""Gateway to the Breaks""""""","""""""Doorway To Miiippi""""""","http://www.meshkin-city.ir/","Nelumbo_nucifera","601","41.4376 -78.542724"
"2279189.53709568","139.7","4.91320744530739E7","621597.14648064","0.0","2300000.0","17870.0","25.3","46.0","40.6","6.1","","6.76","2.6","2.7","1.14","0.0","0.003","81.5","51.0","62.9","7.3","","57.1","50.1","25.0","1.3","","1371.0","9.144","1786-07-04","M.L.a.","Lebanon","Latur_Municipal_Corporation","Mayor%E2%80%93council_government","41000","3","US-MN","Platted","Mankato, MN","Kawachinagano","City of Cadillac","Lome","Places in Louisville Metro","Lancastrians","Central_Time_Zone_(North_america)","The Birthplace of Minnesota","Urbs Condita adiuvando","http://www.lindenmi.us/","Tagetes","507","45.95 -66.66666666666667"
"3500000.0","304.3","466197.85986048","129499.4055168","0.5","1645015.0","19865.0","63.0","60.0","46.0","19.0","","4.87","13.0","0.57","10.9","119.0","0.03","81.0","79.3","63.8","12.0","","36.0","39.0","39.7","11.0","","128.0","511.0","1797-02-20","City Manager","United_States","","List_of_cities_and_towns_in_Colorado","52225","-6","US-MO","Founded","Meizhou","Jintur","Mesa, Washington","Koochiching_County,_Minnesota","articles Related to antipolo","Jujeo","Central_Time_Zone_(North_america)","Gem City of the Plains","Pointing the way since 1845","http://www.cityofwestlake.org","Nikk?kisuge","3595","30.710277777777776 52.17333333333333"
"2620000.0","2075.3","2564088.22923264","1900000.0","0.0599999987","845388.0","29783.0","58.0","51.2","53.3","2.2","","1.09","0.22","12.33","1.6","0.0","0.0","68.3","70.2","77.0","1.6","","85.0","45.0","39.9","4.3","","928.0","180.0","1873-04-03","Mayor","United_States","","Janata_Dal_(Secular)","75785","2","US-NY","Incorporated_town","Bradford Regional airport","anpachi","Mancha Real, Spain","Dehaj_District","Destinations from Ontario","Tacoronterso","EST","Sailfish Capital of the World","""""""Our Home on Millers Bay""""""","www.cacak.org.rs","azalea","450 and 579","43.238055555555555 -94.75111111111111"
"7.433E7","321.7","4040000.0","1812991.6772352","2.7300000191","2000006.0","1047700.0","65.7","60.7","56.1","5.5","","6.0","0.2","27.07","8.6","0.002","0.0","85.9","45.0","69.3","18.0","","22.2","24.0","14.9","5.0","","5778.0","139.0","1877-12-27","MP","United_States","","Mayor%E2%80%93council_government","95667","-6","CL-BI","Incorporated","??","Duluth","Shahriar","United_States","articles relating to Ensenada","Cabuyeas","Central_Time_Zone_(North_america)","The First City of Bulacan, The Evergreen City","""""""a City Of Excellence""""""","http://www.honolulu.gov/","Gentiana","386","42.062222222222225 -91.79305555555555"
