"player_num","position","player_name","club","age","height","weight","birthplace"
"Player---tag","Player---playPosition","Player---name","SportsClub---name","Player---age","Player---height","Player---weight","SportsTeam---name"
"11","F","David Accam","Chicago Fire","24","5' 9''","154","Ghana"
"23","D/M","Kellyn Acosta","FC Dallas","19","5' 10''","150","USA"
"NA","D","Adaílton","Chicago Fire","31","6' 3''","180","Brazil"
"3","D","Sam Adekugbe","Vancouver Whitecaps FC","19","5' 9''","165","England"
"9","F","Fanendo Adi","Portland Timbers","24","6' 4''","185","Nigeria"
"13","F","Tesho Akindele","FC Dallas","22","6' 1''","170","Canada"
"NA","M","Fatai Alashe","","21","6'","170","USA"
"12","M","Eric Alexander","New York Red Bulls","26","6' 1''","165","USA"
"7","D/M","Jordan Allen","Real Salt Lake","19","5' 11''","160","USA"
"6","M","Osvaldo Alonso","Seattle Sounders FC","29","5' 11''","165","Cuba"
"30","D","Kevin Alston","New England Revolution","26","5' 8''","160","USA"
"24","F","Quincy Amarikwa","Chicago Fire","27","5' 9''","180","USA"
"NA","D","Jalil Anibaba","Sporting Kansas City","26","6'","185","USA"
"NA","M","Bernardo Añor","Sporting Kansas City","26","5' 8''","158","Venezuela"
"34","M","Manny Aparicio","Toronto FC","19","5' 6''","149","Argentina"
"5","D","Armando","New York Red Bulls","30","6' 1''","175","Spain"
"8","M","Davy Arnaud","D.C. United","34","5' 11''","160","USA"
"NA","F","Jairo Arrieta","Orlando City SC","31","5' 9''","150","Costa Rica"
"26","M","Corey Ashe","Houston Dynamo","28","5' 5''","154","USA"
"NA","M/F","Dairon Asprilla","Portland Timbers","22","5' 11''","165","Colombia"
"24","GK","Jeff Attinella","Real Salt Lake","26","6' 2''","190","USA"
"42","M","Micheal Azira","Seattle Sounders FC","27","5' 10''","160","Uganda"
"NA","M","Mehdi Ballouchy","New York City FC","31","5' 11''","169","Morocco"
"26","D","Brandon Barklage","San Jose Earthquakes","28","5' 11''","165","USA"
"25","D","Darrius Barnes","New England Revolution","28","6' 1''","175","USA"
"23","M","Giles Barnes","Houston Dynamo","26","5' 11''","181","England"
"NA","M","Leandro Barrera","San Jose Earthquakes","23","5' 8''","171","Argentina"
"19","F","Chad Barrett","Seattle Sounders FC","29","5' 11''","185","USA"
"21","D","Chad Barson","Columbus Crew SC","23","5' 10''","170","USA"
"21","D/M","DaMarcus Beasley","Houston Dynamo","32","5' 8''","145","USA"
"5","M","Kyle Beckerman","Real Salt Lake","32","5' 11''","165","USA"
"29","F","Adam Bedell","Columbus Crew SC","23","6' 6''","204","USA"
"33","D/M","Steven Beitashour","Vancouver Whitecaps FC","27","5' 10''","170","USA"
"8","M","Kyle Bekker","Toronto FC","24","5' 9''","165","Canada"
"27","M","Louis Béland-Goyette","Montreal Impact","19","5' 8''","140","Canada"
"2","D","Tony Beltran","Real Salt Lake","27","5' 8''","150","USA"
"12","GK","Joe Bendik","Toronto FC","25","6' 2''","217","USA"
"5","D","Víctor Bernárdez","San Jose Earthquakes","32","6' 2''","190","Honduras"
"12","GK","John Berner","Colorado Rapids","23","6' 3''","205","USA"
"8","M","Patrice Bernier","Montreal Impact","35","5' 9''","170","Canada"
"4","D","Austin Berry","Philadelphia Union","26","6' 2''","188","USA"
"5","D","Matt Besler","Sporting Kansas City","27","6'","170","USA"
"NA","M","Nick Besler","","21","6' 1''","165","USA"
"16","F","Claudio Bieler","Sporting Kansas City","30","5' 11''","171","Argentina"
"15","D","Steve Birnbaum","D.C. United","23","6' 2''","180","USA"
"1","GK","Andre Blake","Philadelphia Union","24","6' 4''","175","Jamaica"
"28","D","Mark Bloom","Toronto FC","27","5' 11''","162","USA"
"NA","D","Nat Borchers","Portland Timbers","33","6' 2''","175","USA"
"32","D","Bobby Boswell","D.C. United","31","6' 2''","185","USA"
"21","M","Rubén Bover","New York Red Bulls","22","5' 7''","144","Spain"
"NA","F","Tristan Bowen","New England Revolution","23","5' 11''","170","USA"
"4","M","Michael Bradley","Toronto FC","27","6' 2''","179","USA"
"NA","D","Jeb Brovsky","New York City FC","26","6' 1''","170","USA"
"26","F","Deshorn Brown","Colorado Rapids","24","6' 2''","170","Jamaica"
"12","F","Will Bruin","Houston Dynamo","25","6' 2''","194","USA"
"10","F","Teal Bunbury","New England Revolution","24","6' 2''","175","Canada"
"4","D","Marc Burch","Colorado Rapids","30","6' 1''","180","USA"
"NA","D","Bobby Burling","Colorado Rapids","30","6' 5''","195","USA"
"30","G","Evan Bush","Montreal Impact","28","6' 1''","186","USA"
"23","M","Michael Bustamante","New York Red Bulls","25","5' 9''","160","Colombia"
"NA","D","Victor Cabrera","Montreal Impact","21","6'","165","Argentina"
"17","M","Tim Cahill","New York Red Bulls","35","5' 10''","150","Australia"
"6","M","Scott Caldwell","New England Revolution","23","5' 8''","150","USA"
"13","D","Steven Caldwell","Toronto FC","34","6' 2''","195","Scotland"
"NA","F","Caleb Calvert","Colorado Rapids","18","6' 2''","160","USA"
"6","D","Hassoun Camara","Montreal Impact","28","6' 2''","190","France"
"44","GK","Marco Carducci","Vancouver Whitecaps FC","18","6' 1''","185","Canada"
"7","M","Brian Carroll","Philadelphia Union","33","5' 10''","155","USA"
"NA","M","Tony Cascio","Orlando City SC","24","6'","170","USA"
"24","GK","Santiago Castaño","New York Red Bulls","19","6' 2''","184","USA"
"11","F","Fabián Castillo","FC Dallas","22","5' 8''","150","Colombia"
