"Name","Club","Country","Tag","Birthdate","Position"
"Player---name","SportsClub---name","SportsTeam---name","Player---tag","Player---birthDate","Player---playPosition"
"Christensen; Andreas","Bor. Mönchengladbach","Dänemark","3","10.04.1996","DF"
"Hahn; André","Bor. Mönchengladbach","Deutschland","28","13.08.1990","FW"
"Johnson; Fabian","Bor. Mönchengladbach","USA","19","11.12.1987","MF"
"Schulz; Nico","Bor. Mönchengladbach","Deutschland","14","01.04.1993","MF"
"Schulz; Marvin","Bor. Mönchengladbach","Deutschland","18","15.01.1995","DF"
"Wendt; Oscar","Bor. Mönchengladbach","Schweden","17","24.10.1985","DF"
"Elvedi; Nico","Bor. Mönchengladbach","Schweiz","30","30.09.1996","DF"
"Xhaka; Granit","Bor. Mönchengladbach","Schweiz","34","27.09.1992","MF"
"Heimeroth; Christofer","Bor. Mönchengladbach","Deutschland","33","01.08.1981","GK"
"Hrgota; Branimir","Bor. Mönchengladbach","Schweden","31","12.01.1993","FW"
"Stranzl; Martin","Bor. Mönchengladbach","Österreich","39","16.06.1980","DF"
"Ritter; Marlon","Bor. Mönchengladbach","Deutschland","36","15.10.1994","FW"
"Hazard; Thorgan","Bor. Mönchengladbach","Belgien","10","29.03.1993","MF"
"Sippel; Tobias","Bor. Mönchengladbach","Deutschland","21","22.03.1988","GK"
"Stindl; Lars","Bor. Mönchengladbach","Deutschland","13","26.08.1988","MF"
"Drmic; Josip","Bor. Mönchengladbach","Schweiz","9","08.08.1992","FW"
"Sommer; Yann","Bor. Mönchengladbach","Schweiz","1","17.12.1988","GK"
"Raffael","Bor. Mönchengladbach","Brasilien","11","28.03.1985","FW"
"Korb; Julian","Bor. Mönchengladbach","Deutschland","27","21.03.1992","DF"
"Nordtveit; Havard","Bor. Mönchengladbach","Norwegen","6","21.06.1990","MF"
"Dahoud; Mahmoud","Bor. Mönchengladbach","Deutschland","8","01.01.1996","MF"
"Herrmann; Patrick","Bor. Mönchengladbach","Deutschland","7","12.02.1991","MF"
"Brouwers; Roel","Bor. Mönchengladbach","Niederlande","4","28.11.1981","DF"
"Alvaro Dominguez","Bor. Mönchengladbach","Spanien","15","16.05.1989","DF"
"Jantschke; Tony","Bor. Mönchengladbach","Deutschland","24","07.04.1990","DF"
"Traoré; Ibrahima","Bor. Mönchengladbach","Guinea","16","21.04.1988","MF"
"Ascues; Carlos","VfL Wolfsburg","Peru","6","06.06.1992","DF"
"Seguin; Paul","VfL Wolfsburg","Deutschland","30","29.03.1995","MF"
"Grün; Max","VfL Wolfsburg","Deutschland","20","05.04.1987","GK"
"Schäfer; Marcel","VfL Wolfsburg","Deutschland","4","07.06.1984","DF"
"Luiz Gustavo","VfL Wolfsburg","Brasilien","22","23.07.1987","MF"
"Dost; Bas","VfL Wolfsburg","Niederlande","12","31.05.1989","FW"
"Schürrle; André","VfL Wolfsburg","Deutschland","17","06.11.1990","MF"
"Bendtner; Nicklas","VfL Wolfsburg","Dänemark","3","16.01.1988","FW"
"Draxler; Julian","VfL Wolfsburg","Deutschland","xx","20.09.1993","MF"
"Rodriguez; Ricardo","VfL Wolfsburg","Schweiz","34","25.08.1992","DF"
"Vieirinha","VfL Wolfsburg","Portugal","8","24.01.1986","DF"
"Stolze; Sebastian","VfL Wolfsburg","Deutschland","33","29.01.1995","FW"
"Zawada; Oskar","VfL Wolfsburg","Polen","32","01.02.1996","FW"
"Arnold; Maximilian","VfL Wolfsburg","Deutschland","27","27.05.1994","MF"
"Träsch; Christian","VfL Wolfsburg","Deutschland","15","01.09.1987","DF"
"Knoche; Robin","VfL Wolfsburg","Deutschland","31","22.05.1992","DF"
"Dante","VfL Wolfsburg","Brasilien","18","18.10.1983","DF"
"Felipe","VfL Wolfsburg","Brasilien","26","07.08.1987","DF"
"Naldo","VfL Wolfsburg","Brasilien","25","10.09.1982","DF"
"Kruse; Max","VfL Wolfsburg","Deutschland","11","19.03.1988","FW"
"Sprenger; Moritz","VfL Wolfsburg","Deutschland","37","22.02.1995","DF"
"Azzaoui; Ismail","VfL Wolfsburg","Belgien","38","06.01.1998","MF"
"Caligiuri; Daniel","VfL Wolfsburg","Italien","7","15.01.1988","MF"
"Jung; Sebastian","VfL Wolfsburg","Deutschland","24","22.06.1990","DF"
"Guilavogui; Josuha","VfL Wolfsburg","Frankreich","23","19.09.1990","MF"
"Rodriguez; Francisco","VfL Wolfsburg","Schweiz","35","14.09.1995","MF"
"Klose; Timm","VfL Wolfsburg","Schweiz","5","09.05.1988","DF"
"Benaglio; Diego","VfL Wolfsburg","Schweiz","1","08.09.1983","GK"
"Casteels; Koen","VfL Wolfsburg","Belgien","28","25.06.1992","GK"
"Hofmann; Jonas","Borussia Dortmund","Deutschland","7","14.07.1992","MF"
"Sahin; Nuri","Borussia Dortmund","Türkei","18","05.09.1988","MF"
"Bonmann; Hendrik","Borussia Dortmund","Deutschland","39","22.01.1994","GK"
"Sokratis","Borussia Dortmund","Griechenland","25","09.06.1988","DF"
"Leitner; Moritz","Borussia Dortmund","Deutschland","14","08.12.1992","MF"
"Aubameyang; Pierre-Emerick","Borussia Dortmund","Gabun","17","18.06.1989","FW"
"Kagawa; Shinji","Borussia Dortmund","Japan","23","17.03.1989","MF"
