" Shirt Name"," Date of Birth"," Last Name"," First Name"," FIFA Display Name","Country"," Height"," #"," Position"," Club"," Club Country"
"Player---alternateName","Player---birthDate","Player---familyName","Player---givenName","Player---name","SportsTeam---name","Player---height","Player---tag","Player---playPosition","SportsClub---name","League---name"
" GAOUAOUI"," 28 Sep 1977"," GAOUAOUI"," Lounes"," Lounes GAOUAOUI","Algeria"," 188"," 1"," Goalkeeper"," Chlef"," ALG"
" BOUGHERRA"," 07 Oct 1982"," BOUGHERRA"," Madjid"," Madjid BOUGHERRA","Algeria"," 190"," 2"," Defender"," Rangers"," SCO"
" BELHADJ"," 18 Jun 1982"," BELHADJ"," Nadir"," Nadir BELHADJ","Algeria"," 180"," 3"," Defender"," Portsmouth"," ENG"
" YAHIA"," 21 Mar 1982"," YAHIA"," Anther"," Anther YAHIA","Algeria"," 185"," 4"," Defender"," Bochum"," GER"
" HALLICHE"," 02 Sep 1986"," HALLICHE"," Rafik"," Rafik HALLICHE","Algeria"," 187"," 5"," Defender"," Nacional Madeira"," POR"
" MANSOURI"," 25 Feb 1978"," MANSOURI"," Yazid"," Yazid MANSOURI","Algeria"," 175"," 6"," Midfielder"," Lorient"," FRA"
" BOUDEBOUZ"," 19 Feb 1990"," BOUDEBOUZ"," Ryad"," Ryad BOUDEBOUZ","Algeria"," 178"," 7"," Midfielder"," Sochaux"," FRA"
" LACEN"," 15 Mar 1984"," LACEN"," Medhi Gregory Guiseppe"," Medhi LACEN","Algeria"," 178"," 8"," Midfielder"," Racing Santander"," ESP"
" GHEZZAL"," 05 Dec 1984"," GHEZZAL"," Abdelkader Mohamed"," Abdelkader GHEZZAL","Algeria"," 186"," 9"," Forward"," Siena"," ITA"
" SAIFI"," 07 Feb 1975"," SAIFI"," Rafik"," Rafik SAIFI","Algeria"," 178"," 10"," Forward"," Istres"," FRA"
" DJEBBOUR"," 08 Mar 1984"," DJEBBOUR"," Rafik Zoheir"," Rafik DJEBBOUR","Algeria"," 185"," 11"," Forward"," AEK Athens"," GRE"
" BELLAID"," 28 Mar 1986"," BELLAID"," Habib Mohamed"," Habib BELLAID","Algeria"," 189"," 12"," Defender"," Boulogne"," FRA"
" MATMOUR"," 25 Jun 1985"," MATMOUR"," Karim"," Karim MATMOUR","Algeria"," 181"," 13"," Midfielder"," Borussia Moenchengladbach"," GER"
" LAIFAOUI"," 29 Jul 1981"," LAIFAOUI"," Abdelkader"," Abdelkader LAIFAOUI","Algeria"," 177"," 14"," Defender"," Setif"," ALG"
" ZIANI"," 17 Aug 1982"," ZIANI"," Karim Koceila Yanis"," Karim ZIANI","Algeria"," 168"," 15"," Midfielder"," Wolfsburg"," GER"
